session_id,doc_variant,query_text,docnos,tfidf_terms,evidence
71d9a4b88d17a62c956686dfb02a01fe,rel,cannabis,"['303269026', '303269097', '312533719']","images (0.219), craving (0.197), image (0.197), cannabis craving (0.131), tobacco (0.131)","Search query:
cannabis

Important TF-IDF terms extracted from retrieved documents:
images (0.219), craving (0.197), image (0.197), cannabis craving (0.131), tobacco (0.131)"
71d9a4b88d17a62c956686dfb02a01fe,non_rel,cannabis,"['165095147', '85860500', '310338014', '26558135']","help (0.130), hospitalizations (0.101), connectivity (0.089), psychosis (0.082), mla (0.081)","Search query:
cannabis

Important TF-IDF terms extracted from retrieved documents:
help (0.130), hospitalizations (0.101), connectivity (0.089), psychosis (0.082), mla (0.081)"
4a9bc9a79372406264b38f180fbdf242,rel,asphalt engine oil,"['49607580', '108413653', '10723010']","binder (0.175), asphalt binder (0.164), testing (0.131), rejuvenators (0.088), cooking (0.088)","Search query:
asphalt engine oil

Important TF-IDF terms extracted from retrieved documents:
binder (0.175), asphalt binder (0.164), testing (0.131), rejuvenators (0.088), cooking (0.088)"
4a9bc9a79372406264b38f180fbdf242,non_rel,asphalt engine oil,"['301803767', '41257695', '305614513', '303402097']","asbuton (0.089), на (0.080), microwave (0.077), ash (0.074), rheological (0.063)","Search query:
asphalt engine oil

Important TF-IDF terms extracted from retrieved documents:
asbuton (0.089), на (0.080), microwave (0.077), ash (0.074), rheological (0.063)"
a5c587bb204cb34e669e171074b6cf60,rel,Which feeding pattern most strongly predicts eligibility for biomarker based treatment,"['10916901', '313461426', '292167566']","pattern (0.122), tumour (0.118), glucose (0.106), metabolic (0.106), studies (0.090)","Search query:
Which feeding pattern most strongly predicts eligibility for biomarker based treatment

Important TF-IDF terms extracted from retrieved documents:
pattern (0.122), tumour (0.118), glucose (0.106), metabolic (0.106), studies (0.090)"
a5c587bb204cb34e669e171074b6cf60,non_rel,Which feeding pattern most strongly predicts eligibility for biomarker based treatment,"['237426718', '297188711', '130191830', '302073242']","alcoholic (0.111), sorafenib (0.098), hrv (0.097), treatment (0.090), adhd (0.084)","Search query:
Which feeding pattern most strongly predicts eligibility for biomarker based treatment

Important TF-IDF terms extracted from retrieved documents:
alcoholic (0.111), sorafenib (0.098), hrv (0.097), treatment (0.090), adhd (0.084)"
0311e191f7a1e1d2ee53d824a45c720f,rel,"relationship between financial literacy, financial stress and academic success","['312280958', '108201812', '160708876']","students (0.169), college (0.103), factors (0.099), financial literacy (0.091), student financial (0.070)","Search query:
relationship between financial literacy, financial stress and academic success

Important TF-IDF terms extracted from retrieved documents:
students (0.169), college (0.103), factors (0.099), financial literacy (0.091), student financial (0.070)"
0311e191f7a1e1d2ee53d824a45c720f,non_rel,"relationship between financial literacy, financial stress and academic success","['122782560', '158346157', '26274948', '302162521']","investment (0.104), spending (0.103), spending habits (0.090), habits (0.090), financial capability (0.085)","Search query:
relationship between financial literacy, financial stress and academic success

Important TF-IDF terms extracted from retrieved documents:
investment (0.104), spending (0.103), spending habits (0.090), habits (0.090), financial capability (0.085)"
0e843d35dd1893ccc26b00ab27189a4a,rel,theories about meco waste and coconut shell,"['300357083', '44673882', '232139972']","charcoal (0.190), concrete (0.137), sand (0.124), briquettes (0.122), cocodust (0.099)","Search query:
theories about meco waste and coconut shell

Important TF-IDF terms extracted from retrieved documents:
charcoal (0.190), concrete (0.137), sand (0.124), briquettes (0.122), cocodust (0.099)"
0e843d35dd1893ccc26b00ab27189a4a,non_rel,theories about meco waste and coconut shell,"['291148084', '301534577', '40068115', '283172875']","fiber (0.091), industry (0.086), concrete (0.078), asr (0.078), coconut apple (0.075)","Search query:
theories about meco waste and coconut shell

Important TF-IDF terms extracted from retrieved documents:
fiber (0.091), industry (0.086), concrete (0.078), asr (0.078), coconut apple (0.075)"
c7f4279af1b23758d6477607a2bbcefa,rel,balance in business profit and environmental sustainability,"['290848339', '301572243', '156006580']","csr (0.122), profitability (0.104), pillars (0.100), practices (0.099), balancing (0.085)","Search query:
balance in business profit and environmental sustainability

Important TF-IDF terms extracted from retrieved documents:
csr (0.122), profitability (0.104), pillars (0.100), practices (0.099), balancing (0.085)"
c7f4279af1b23758d6477607a2bbcefa,non_rel,balance in business profit and environmental sustainability,"['312373365', '291509959', '308839902', '301788513']","carbon (0.161), line (0.100), environmental performance (0.093), performance (0.093), profitability (0.093)","Search query:
balance in business profit and environmental sustainability

Important TF-IDF terms extracted from retrieved documents:
carbon (0.161), line (0.100), environmental performance (0.093), performance (0.093), profitability (0.093)"
0da32d60e3d3eb1c1ac82963dd1c3b57,rel,vitamin b12,"['128421706', '162806623', '70960302']","infants (0.142), total vitamin (0.134), homocysteine (0.118), total (0.114), mothers (0.095)","Search query:
vitamin b12

Important TF-IDF terms extracted from retrieved documents:
infants (0.142), total vitamin (0.134), homocysteine (0.118), total (0.114), mothers (0.095)"
0da32d60e3d3eb1c1ac82963dd1c3b57,non_rel,vitamin b12,"['162388104', '86046786', '70976109', '302773492']","deficiency (0.116), patients (0.109), b12 deficiency (0.092), placental (0.075), delivery (0.070)","Search query:
vitamin b12

Important TF-IDF terms extracted from retrieved documents:
deficiency (0.116), patients (0.109), b12 deficiency (0.092), placental (0.075), delivery (0.070)"
34d9a1bb0ba98481c5cc096ca817b7b2,rel,virtual tour,"['84130993', '2728059', '70332348']","building (0.162), tours (0.157), virtual tour (0.134), virtual tours (0.130), person (0.105)","Search query:
virtual tour

Important TF-IDF terms extracted from retrieved documents:
building (0.162), tours (0.157), virtual tour (0.134), virtual tours (0.130), person (0.105)"
34d9a1bb0ba98481c5cc096ca817b7b2,non_rel,virtual tour,"['301570828', '76938098', '31636123', '305642897']","vt (0.102), archaeological (0.085), new (0.080), ct (0.074), pet (0.074)","Search query:
virtual tour

Important TF-IDF terms extracted from retrieved documents:
vt (0.102), archaeological (0.085), new (0.080), ct (0.074), pet (0.074)"
ecf8a42af61b9c2e9a23365128390266,rel,the psychological factor affecting student entrepreneur,"['304895508', '304882285', '167728301']","entrepreneurs (0.177), hope (0.143), migrant (0.133), success (0.133), entrepreneurial success (0.114)","Search query:
the psychological factor affecting student entrepreneur

Important TF-IDF terms extracted from retrieved documents:
entrepreneurs (0.177), hope (0.143), migrant (0.133), success (0.133), entrepreneurial success (0.114)"
ecf8a42af61b9c2e9a23365128390266,non_rel,the psychological factor affecting student entrepreneur,"['298712964', '298713085', '312808255', '301147785']","financial (0.184), market (0.180), transition (0.155), beliefs (0.155), market transition (0.155)","Search query:
the psychological factor affecting student entrepreneur

Important TF-IDF terms extracted from retrieved documents:
financial (0.184), market (0.180), transition (0.155), beliefs (0.155), market transition (0.155)"
bde93b8e8293890c7cbf1a42fbfede2b,rel,green roof,"['10960712', '293420956', '22466824']","systems (0.108), critical (0.102), energy (0.092), roof systems (0.089), modular green (0.089)","Search query:
green roof

Important TF-IDF terms extracted from retrieved documents:
systems (0.108), critical (0.102), energy (0.092), roof systems (0.089), modular green (0.089)"
bde93b8e8293890c7cbf1a42fbfede2b,non_rel,green roof,"['302847549', '309088114', '74224867', '291423938']","roof (0.104), water (0.088), urban (0.086), building (0.070), temperature (0.068)","Search query:
green roof

Important TF-IDF terms extracted from retrieved documents:
roof (0.104), water (0.088), urban (0.086), building (0.070), temperature (0.068)"
6d8e8990e464b9bfbe52609cd40ac00b,rel,political science,"['11451177', '151060569', '83523983']","meanings (0.134), studies (0.107), science studies (0.107), century (0.103), history (0.091)","Search query:
political science

Important TF-IDF terms extracted from retrieved documents:
meanings (0.134), studies (0.107), science studies (0.107), century (0.103), history (0.091)"
6d8e8990e464b9bfbe52609cd40ac00b,non_rel,political science,"['275704218', '5250299', '2709765', '21012273']","frank (0.102), journals (0.102), conspiracy (0.090), political science (0.087), related (0.077)","Search query:
political science

Important TF-IDF terms extracted from retrieved documents:
frank (0.102), journals (0.102), conspiracy (0.090), political science (0.087), related (0.077)"
9c64c59a7a6aadb5f0ec8252e0df99aa,rel,mnemonic device agent based modeling,"['9129538', '2384057', '275535789']","words (0.154), recall (0.107), mnemonic devices (0.091), devices (0.091), concrete (0.091)","Search query:
mnemonic device agent based modeling

Important TF-IDF terms extracted from retrieved documents:
words (0.154), recall (0.107), mnemonic devices (0.091), devices (0.091), concrete (0.091)"
9c64c59a7a6aadb5f0ec8252e0df99aa,non_rel,mnemonic device agent based modeling,"['296450824', '309373275', '300926312', '55530981']","model (0.173), training (0.145), eavesdroppers (0.104), model training (0.104), deceptive (0.104)","Search query:
mnemonic device agent based modeling

Important TF-IDF terms extracted from retrieved documents:
model (0.173), training (0.145), eavesdroppers (0.104), model training (0.104), deceptive (0.104)"
785b9784a0ed573bc3e4c38addb767f5,rel,How can hands on projects and simulations be combined to maximize physics critical thinking,"['289893538', '8643139', '289490820']","students (0.110), stem (0.109), education (0.107), learning (0.093), critical thinking (0.086)","Search query:
How can hands on projects and simulations be combined to maximize physics critical thinking

Important TF-IDF terms extracted from retrieved documents:
students (0.110), stem (0.109), education (0.107), learning (0.093), critical thinking (0.086)"
785b9784a0ed573bc3e4c38addb767f5,non_rel,How can hands on projects and simulations be combined to maximize physics critical thinking,"['299728546', '9015550', '45146439', '173223536']","research (0.098), critical thinking (0.088), thinking (0.088), critical (0.088), learning (0.087)","Search query:
How can hands on projects and simulations be combined to maximize physics critical thinking

Important TF-IDF terms extracted from retrieved documents:
research (0.098), critical thinking (0.088), thinking (0.088), critical (0.088), learning (0.087)"
5de7dd868fe0c5a2930a2ab347ec4fbf,rel,community policing,"['40103284', '70340656', '85168091']","nigeria (0.128), initiatives (0.119), policing initiatives (0.106), development (0.096), security (0.096)","Search query:
community policing

Important TF-IDF terms extracted from retrieved documents:
nigeria (0.128), initiatives (0.119), policing initiatives (0.106), development (0.096), security (0.096)"
5de7dd868fe0c5a2930a2ab347ec4fbf,non_rel,community policing,"['302559657', '305743758', '301542221', '8059002']","reform (0.092), violence (0.088), health (0.088), police violence (0.088), police reform (0.085)","Search query:
community policing

Important TF-IDF terms extracted from retrieved documents:
reform (0.092), violence (0.088), health (0.088), police violence (0.088), police reform (0.085)"
fbe6a289dc137d81b5b0b768bffeb450,rel,effectiveness,"['304514157', '301272051', '42863264']","testing (0.177), systems (0.162), effects (0.131), effect systems (0.127), direct (0.115)","Search query:
effectiveness

Important TF-IDF terms extracted from retrieved documents:
testing (0.177), systems (0.162), effects (0.131), effect systems (0.127), direct (0.115)"
fbe6a289dc137d81b5b0b768bffeb450,non_rel,effectiveness,"['304504291', '42659137', '295665713', '6431165']","effect (0.166), agreement (0.128), processing (0.093), based (0.084), pricing (0.083)","Search query:
effectiveness

Important TF-IDF terms extracted from retrieved documents:
effect (0.166), agreement (0.128), processing (0.093), based (0.084), pricing (0.083)"
ef3ddfa96d252a408f89cc5c977464e4,rel,Which feature of trial supported products most aids scalable adoption in understaffed settings,"['296706301', '44141605', '70959048']","staffing (0.132), feature (0.129), pm (0.110), feature recognition (0.103), recognition (0.103)","Search query:
Which feature of trial supported products most aids scalable adoption in understaffed settings

Important TF-IDF terms extracted from retrieved documents:
staffing (0.132), feature (0.129), pm (0.110), feature recognition (0.103), recognition (0.103)"
ef3ddfa96d252a408f89cc5c977464e4,non_rel,Which feature of trial supported products most aids scalable adoption in understaffed settings,"['1130105', '291451365', '301847956', '300155135']","model (0.082), learning (0.072), drug (0.067), cade (0.052), different (0.052)","Search query:
Which feature of trial supported products most aids scalable adoption in understaffed settings

Important TF-IDF terms extracted from retrieved documents:
model (0.082), learning (0.072), drug (0.067), cade (0.052), different (0.052)"
6172609153797fcc6bb5c7a412a22a0b,rel,matatag curriculum,"['303965485', '301078262', '299793190']","education (0.126), using (0.108), instruction matatag (0.094), instruction (0.094), differentiated instruction (0.094)","Search query:
matatag curriculum

Important TF-IDF terms extracted from retrieved documents:
education (0.126), using (0.108), instruction matatag (0.094), instruction (0.094), differentiated instruction (0.094)"
6172609153797fcc6bb5c7a412a22a0b,non_rel,matatag curriculum,"['289494402', '289714994', '301354691', '313747523']","pesantren (0.175), madrasah (0.125), implementation (0.106), pesantren based (0.100), based (0.100)","Search query:
matatag curriculum

Important TF-IDF terms extracted from retrieved documents:
pesantren (0.175), madrasah (0.125), implementation (0.106), pesantren based (0.100), based (0.100)"
180b7026c3f14190c7aadabec96e1268,rel,impact of tiktok in students academic,"['173700934', '160947809', '168924576']","sleep (0.131), usage (0.120), tiktok usage (0.120), media (0.119), sidoarjo (0.091)","Search query:
impact of tiktok in students academic

Important TF-IDF terms extracted from retrieved documents:
sleep (0.131), usage (0.120), tiktok usage (0.120), media (0.119), sidoarjo (0.091)"
180b7026c3f14190c7aadabec96e1268,non_rel,impact of tiktok in students academic,"['160926574', '287581051', '302712876', '301422439']","learning (0.144), speaking (0.140), test (0.110), social (0.085), social media (0.085)","Search query:
impact of tiktok in students academic

Important TF-IDF terms extracted from retrieved documents:
learning (0.144), speaking (0.140), test (0.110), social (0.085), social media (0.085)"
d758afb29213ad1c04bf53c7bda2a3ad,rel,john webster satire duchess of malfi,"['66964492', '48211371', '8292080']","tì (0.123), ìyálóde tì (0.103), ìyálóde (0.103), issues (0.086), attempts (0.084)","Search query:
john webster satire duchess of malfi

Important TF-IDF terms extracted from retrieved documents:
tì (0.123), ìyálóde tì (0.103), ìyálóde (0.103), issues (0.086), attempts (0.084)"
d758afb29213ad1c04bf53c7bda2a3ad,non_rel,john webster satire duchess of malfi,"['46947668', '46946402', '296416133', '290578449']","natal (0.148), royal (0.116), highnesses (0.088), royal highnesses (0.088), la (0.085)","Search query:
john webster satire duchess of malfi

Important TF-IDF terms extracted from retrieved documents:
natal (0.148), royal (0.116), highnesses (0.088), royal highnesses (0.088), la (0.085)"
cca3dd5aa311bc7a728839dd6fa4321b,rel,What design choice helps scale short‑term participant benefits into sustained community‑level change,"['305754594', '312519204', '310320016']","financial (0.095), food (0.093), climate (0.087), trailer (0.087), choice (0.087)","Search query:
What design choice helps scale short‑term participant benefits into sustained community‑level change

Important TF-IDF terms extracted from retrieved documents:
financial (0.095), food (0.093), climate (0.087), trailer (0.087), choice (0.087)"
cca3dd5aa311bc7a728839dd6fa4321b,non_rel,What design choice helps scale short‑term participant benefits into sustained community‑level change,"['292264529', '302067621', '302818489', '2819432']","asynchronous (0.178), experiments (0.119), experiment (0.089), delivery (0.089), remote (0.089)","Search query:
What design choice helps scale short‑term participant benefits into sustained community‑level change

Important TF-IDF terms extracted from retrieved documents:
asynchronous (0.178), experiments (0.119), experiment (0.089), delivery (0.089), remote (0.089)"
3f0c797d1b9ad16c64d4e0ef3aeec05a,rel,academic stress,"['148938101', '10992357', '305149596']","burnout (0.118), academic burnout (0.118), coping (0.109), social (0.100), academic resilience (0.100)","Search query:
academic stress

Important TF-IDF terms extracted from retrieved documents:
burnout (0.118), academic burnout (0.118), coping (0.109), social (0.100), academic resilience (0.100)"
3f0c797d1b9ad16c64d4e0ef3aeec05a,non_rel,academic stress,"['149980703', '275656718', '155488487', '309652034']","subjective (0.096), nature (0.090), smartphone (0.086), physical (0.082), exercise (0.082)","Search query:
academic stress

Important TF-IDF terms extracted from retrieved documents:
subjective (0.096), nature (0.090), smartphone (0.086), physical (0.082), exercise (0.082)"
21cae2e64e92320ca34161360b16d7c7,rel,war correspondent,"['60755187', '77844066', '85608554']","women (0.208), new (0.101), zealand (0.101), new zealand (0.101), correspondents (0.094)","Search query:
war correspondent

Important TF-IDF terms extracted from retrieved documents:
women (0.208), new (0.101), zealand (0.101), new zealand (0.101), correspondents (0.094)"
21cae2e64e92320ca34161360b16d7c7,non_rel,war correspondent,"['147775912', '311208944', '63173850', '86837647']","thompson (0.082), belden (0.082), medical (0.068), henrietta (0.062), letter (0.062)","Search query:
war correspondent

Important TF-IDF terms extracted from retrieved documents:
thompson (0.082), belden (0.082), medical (0.068), henrietta (0.062), letter (0.062)"
646c9d86471ed8171432eb721b3adb7e,rel,blockchain,"['108812633', '305562393', '150255280']","adoption (0.109), blockchain systems (0.100), systems (0.100), usage (0.089), intention (0.089)","Search query:
blockchain

Important TF-IDF terms extracted from retrieved documents:
adoption (0.109), blockchain systems (0.100), systems (0.100), usage (0.089), intention (0.089)"
646c9d86471ed8171432eb721b3adb7e,non_rel,blockchain,"['8030482', '305646204', '302880801', '8029050']","healthcare (0.114), socialist (0.111), environmental (0.072), potential (0.060), enterprises (0.060)","Search query:
blockchain

Important TF-IDF terms extracted from retrieved documents:
healthcare (0.114), socialist (0.111), environmental (0.072), potential (0.060), enterprises (0.060)"
cd8168171beff566fc1609c9dd080cd2,rel,How do local cultural liaisons and on site professionals interact to improve remote mental healthcare sustainability,"['4364356', '313092460', '30694206']","interagency (0.131), mental (0.129), mental health (0.118), cultural (0.117), stroke (0.106)","Search query:
How do local cultural liaisons and on site professionals interact to improve remote mental healthcare sustainability

Important TF-IDF terms extracted from retrieved documents:
interagency (0.131), mental (0.129), mental health (0.118), cultural (0.117), stroke (0.106)"
cd8168171beff566fc1609c9dd080cd2,non_rel,How do local cultural liaisons and on site professionals interact to improve remote mental healthcare sustainability,"['150393230', '151246873', '291592379', '305639419']","health (0.114), culture (0.112), mental (0.095), women (0.084), engineering (0.076)","Search query:
How do local cultural liaisons and on site professionals interact to improve remote mental healthcare sustainability

Important TF-IDF terms extracted from retrieved documents:
health (0.114), culture (0.112), mental (0.095), women (0.084), engineering (0.076)"
214e0e6a764e36edddccb487e9412d52,rel,global warming,"['138381221', '2465011', '539860']","uncertainty (0.142), economic (0.106), economic development (0.104), development (0.104), warming economic (0.093)","Search query:
global warming

Important TF-IDF terms extracted from retrieved documents:
uncertainty (0.142), economic (0.106), economic development (0.104), development (0.104), warming economic (0.093)"
214e0e6a764e36edddccb487e9412d52,non_rel,global warming,"['62808620', '96620183', '147045421', '756656']","earth (0.099), crises (0.094), emissions (0.088), greenhouse (0.086), global crises (0.056)","Search query:
global warming

Important TF-IDF terms extracted from retrieved documents:
earth (0.099), crises (0.094), emissions (0.088), greenhouse (0.086), global crises (0.056)"
76792feec3056517ffbd2f3c6928b784,rel,harnessing wind energy,"['156005970', '127427279', '8766978']","power (0.132), device (0.124), systems (0.111), energy systems (0.089), wind power (0.074)","Search query:
harnessing wind energy

Important TF-IDF terms extracted from retrieved documents:
power (0.132), device (0.124), systems (0.111), energy systems (0.089), wind power (0.074)"
76792feec3056517ffbd2f3c6928b784,non_rel,harnessing wind energy,"['155176954', '305893995', '311301479', '291410901']","power (0.088), hydrogen (0.083), distribution (0.075), decomposition (0.063), taiwan (0.063)","Search query:
harnessing wind energy

Important TF-IDF terms extracted from retrieved documents:
power (0.088), hydrogen (0.083), distribution (0.075), decomposition (0.063), taiwan (0.063)"
5f5bdfe2819916c5252ef19275536204,rel,electromagnetic spectrum,"['863325', '169260881', '2384054']","booklet (0.092), noise spectrum (0.090), noise (0.090), blackbody spectrum (0.082), blackbody (0.082)","Search query:
electromagnetic spectrum

Important TF-IDF terms extracted from retrieved documents:
booklet (0.092), noise spectrum (0.090), noise (0.090), blackbody spectrum (0.082), blackbody (0.082)"
5f5bdfe2819916c5252ef19275536204,non_rel,electromagnetic spectrum,"['85871831', '310852107', '303961878', '310271637']","flare (0.075), atoms (0.074), signals (0.069), emission (0.068), energy (0.065)","Search query:
electromagnetic spectrum

Important TF-IDF terms extracted from retrieved documents:
flare (0.075), atoms (0.074), signals (0.069), emission (0.068), energy (0.065)"
adb15e7efac1c2c98a9e7c583f4bf050,rel,influence,"['299195759', '299267227', '276106832']","marketing (0.185), influencer marketing (0.131), brand (0.118), egypt (0.099), equity (0.094)","Search query:
influence

Important TF-IDF terms extracted from retrieved documents:
marketing (0.185), influencer marketing (0.131), brand (0.118), egypt (0.099), equity (0.094)"
adb15e7efac1c2c98a9e7c583f4bf050,non_rel,influence,"['300876834', '292065022', '303292782', '310270436']","influence (0.124), awareness (0.110), influencer (0.099), brand (0.090), landscape (0.083)","Search query:
influence

Important TF-IDF terms extracted from retrieved documents:
influence (0.124), awareness (0.110), influencer (0.099), brand (0.090), landscape (0.083)"
3b175cfd5b7ae22194d40af13f9a7ee7,rel,stand up comedy,"['7993700', '8150637', '12191321']","live stand (0.181), audiences (0.140), arena stand (0.113), arena (0.113), life (0.088)","Search query:
stand up comedy

Important TF-IDF terms extracted from retrieved documents:
live stand (0.181), audiences (0.140), arena stand (0.113), arena (0.113), life (0.088)"
3b175cfd5b7ae22194d40af13f9a7ee7,non_rel,stand up comedy,"['295981483', '33377127', '313577107', '309907911']","nbsp (0.100), nbsp nbsp (0.083), stand (0.077), la (0.070), humor (0.066)","Search query:
stand up comedy

Important TF-IDF terms extracted from retrieved documents:
nbsp (0.100), nbsp nbsp (0.083), stand (0.077), la (0.070), humor (0.066)"
3fb37f11fe7ce75db465d18b9cc0705c,rel,How consistent are learning gains from a case focused instructional approach across different high schools,"['313295762', '292650209', '291471491']","bilingual (0.130), students (0.119), arabic (0.098), creative (0.089), thinking (0.089)","Search query:
How consistent are learning gains from a case focused instructional approach across different high schools

Important TF-IDF terms extracted from retrieved documents:
bilingual (0.130), students (0.119), arabic (0.098), creative (0.089), thinking (0.089)"
3fb37f11fe7ce75db465d18b9cc0705c,non_rel,How consistent are learning gains from a case focused instructional approach across different high schools,"['292517239', '295445634', '301569660', '297245401']","support (0.122), english (0.095), ai (0.092), kahoot (0.086), grammar (0.086)","Search query:
How consistent are learning gains from a case focused instructional approach across different high schools

Important TF-IDF terms extracted from retrieved documents:
support (0.122), english (0.095), ai (0.092), kahoot (0.086), grammar (0.086)"
c1b455cf331dc5b1058e63bf0dee8e14,rel,wind energy,"['10105308', '132373171', '308727780']","eave (0.142), panel (0.113), project (0.091), rooftop (0.085), wind resource (0.084)","Search query:
wind energy

Important TF-IDF terms extracted from retrieved documents:
eave (0.142), panel (0.113), project (0.091), rooftop (0.085), wind resource (0.084)"
c1b455cf331dc5b1058e63bf0dee8e14,non_rel,wind energy,"['8696601', '237685237', '296822247', '308963750']","offshore (0.097), market (0.085), offshore wind (0.085), inertial (0.079), kw (0.070)","Search query:
wind energy

Important TF-IDF terms extracted from retrieved documents:
offshore (0.097), market (0.085), offshore wind (0.085), inertial (0.079), kw (0.070)"
4880fdf7ff336b249af928cf93f43f0a,rel,peer pressure,"['14171829', '32871589', '63010407']","adolescent (0.186), boys (0.093), gender (0.093), single (0.093), single gender (0.093)","Search query:
peer pressure

Important TF-IDF terms extracted from retrieved documents:
adolescent (0.186), boys (0.093), gender (0.093), single (0.093), single gender (0.093)"
4880fdf7ff336b249af928cf93f43f0a,non_rel,peer pressure,"['309773002', '297684663', '309219076', '309231432']","pc (0.169), review (0.169), peer review (0.113), freezing (0.103), junior (0.085)","Search query:
peer pressure

Important TF-IDF terms extracted from retrieved documents:
pc (0.169), review (0.169), peer review (0.113), freezing (0.103), junior (0.085)"
2cec90ec702158ed195d56177d214a9e,rel,financial literacy,"['297353220', '293859596', '302692987']","literacy financial (0.233), contributes (0.186), behaviors (0.140), oecd countries (0.093), countries (0.093)","Search query:
financial literacy

Important TF-IDF terms extracted from retrieved documents:
literacy financial (0.233), contributes (0.186), behaviors (0.140), oecd countries (0.093), countries (0.093)"
2cec90ec702158ed195d56177d214a9e,non_rel,financial literacy,"['31448607', '68838730', '292692520', '41195117']","micro (0.113), relationship (0.102), behavior (0.091), population (0.087), literacy population (0.087)","Search query:
financial literacy

Important TF-IDF terms extracted from retrieved documents:
micro (0.113), relationship (0.102), behavior (0.091), population (0.087), literacy population (0.087)"
a0f8eaa665af3ffc3717c28c4834898a,rel,nursing management for neonate,"['274998599', '222193294', '173702620']","review (0.152), pain (0.139), professionals (0.099), skin (0.081), care (0.076)","Search query:
nursing management for neonate

Important TF-IDF terms extracted from retrieved documents:
review (0.152), pain (0.139), professionals (0.099), skin (0.081), care (0.076)"
a0f8eaa665af3ffc3717c28c4834898a,non_rel,nursing management for neonate,"['297742699', '81781407', '302108960', '7354616']","nsi (0.097), care (0.093), kc (0.083), la (0.074), cent (0.073)","Search query:
nursing management for neonate

Important TF-IDF terms extracted from retrieved documents:
nsi (0.097), care (0.093), kc (0.083), la (0.074), cent (0.073)"
