session_id,num_queries,queries,first_query,all_queries
8825fceaab6c9615ff2422b373b5baee,1,['analyzing the effectiveness of promotional strategy in resort'],analyzing the effectiveness of promotional strategy in resort,analyzing the effectiveness of promotional strategy in resort
6513b320bfbcd0ed11d192b17f985131,1,['emotional intelligence and academic performance'],emotional intelligence and academic performance,emotional intelligence and academic performance
9cb300cc7da1de27a2d469b5478ba4f8,1,['prigozhin private military company'],prigozhin private military company,prigozhin private military company
9ae8eb0cd4e9e0ccbbb6dc5e829fc1f3,1,['telemedicine in cardiology'],telemedicine in cardiology,telemedicine in cardiology
44e521225789bb4e0a23bd3d8482322b,1,['How can electrode material choice trade off rate capability against timing and compactness in detectors?'],How can electrode material choice trade off rate capability against timing and compactness in detectors?,How can electrode material choice trade off rate capability against timing and compactness in detectors?
42c8c24fcf4a66dc6ce61d46a732eafd,1,['selective attention and inattentional blindness'],selective attention and inattentional blindness,selective attention and inattentional blindness
41c05295cab3dfb5bcced7d22851e2f2,1,['digital transformation labor market'],digital transformation labor market,digital transformation labor market
ebb5187bf0611c3aeafcd79bb1fb3604,1,['the effects of physical activity on well-being'],the effects of physical activity on well-being,the effects of physical activity on well-being
6dc135911c7777c35b1eb8e83c839b97,1,['machine learning'],machine learning,machine learning
2fc587e0febb815f217d16fe5a82f6c0,1,['international mediation'],international mediation,international mediation
5abb455852405585be851775b2889f50,1,['What evidence threshold justifies advancing a combination therapy to a randomized confirmatory trial?'],What evidence threshold justifies advancing a combination therapy to a randomized confirmatory trial?,What evidence threshold justifies advancing a combination therapy to a randomized confirmatory trial?
cdab5007fa0102e35bef72755502c45b,1,['time frequency analysis'],time frequency analysis,time frequency analysis
0873d2cffeaaf1b9c45950b0bc9e1b6d,1,['theory about orange citrus sinensis peel'],theory about orange citrus sinensis peel,theory about orange citrus sinensis peel
867df7f22d5cef910c9c8269e8313ff8,1,['Which family profiles predict both children improving when parenting behaviors change?'],Which family profiles predict both children improving when parenting behaviors change?,Which family profiles predict both children improving when parenting behaviors change?
572eb6a74d192c4730b21f32b62e4741,1,['chronological'],chronological,chronological
b60636e15cd1e6f73ecf034caaef6fc3,1,['renal replacement therapy'],renal replacement therapy,renal replacement therapy
6b58c5db2a6d99ec1ee8daf7467ed326,1,['semi-supervised learning'],semi-supervised learning,semi-supervised learning
0eb2a0f2a29a2fbfc09b4e58c7743f72,1,['Which communication improvement most reduces repeated dimensional issues across project phases?'],Which communication improvement most reduces repeated dimensional issues across project phases?,Which communication improvement most reduces repeated dimensional issues across project phases?
e250296d22d78c408818c9b1b5352db0,1,['john webster duchess of malfi'],john webster duchess of malfi,john webster duchess of malfi
533ebe54d99e8c5e2feea55299c0f3ef,1,['Which prior-treatment feature best identifies patients likely to derive survival benefit from the newer second-line option?'],Which prior-treatment feature best identifies patients likely to derive survival benefit from the newer second-line option?,Which prior-treatment feature best identifies patients likely to derive survival benefit from the newer second-line option?
defa7c6807ede7c5af9d5fc1be50f838,1,['bauhaus'],bauhaus,bauhaus
0da43e818ee36f379dd0d53094a708c4,1,['prefabrication building'],prefabrication building,prefabrication building
58fd19c62fe32b0064fa514d5b699359,1,['assessment and generative ai'],assessment and generative ai,assessment and generative ai
b9ad3ed3cdd94a9248b41027054aa84f,1,['air breathing ion thruster'],air breathing ion thruster,air breathing ion thruster
42a14fb90b75c5ce037cb9d6acc52b8a,1,['stock market prediction'],stock market prediction,stock market prediction
c29788eafcbbd45047a08b5cd1c24db4,1,['bioclimatic architecture'],bioclimatic architecture,bioclimatic architecture
42fc2e2be3ac49c6564dd47816dda6ef,1,['animal and environmental biology'],animal and environmental biology,animal and environmental biology
471a0903327aebe720f561315e32d5d9,1,['humps installation'],humps installation,humps installation
8a5dc8caebf3359906b2ccd6264982f2,1,['When does higher modeled microbiological coverage justify routine use of a broad-spectrum agent?'],When does higher modeled microbiological coverage justify routine use of a broad-spectrum agent?,When does higher modeled microbiological coverage justify routine use of a broad-spectrum agent?
476f68b3901eef85a4d2e74c9c112409,1,['personalized medicine'],personalized medicine,personalized medicine
9db831533ed3cfc0211280d567a041ff,1,['psychology and human behavior'],psychology and human behavior,psychology and human behavior
3ffc45d254ea1c9518f1de5190f85126,1,['food quality and satisfaction'],food quality and satisfaction,food quality and satisfaction
5432516c146400806a7fac5fc8b2a851,1,['Why does combining physical inspection with measured speed data aid diagnosis of gear faults?'],Why does combining physical inspection with measured speed data aid diagnosis of gear faults?,Why does combining physical inspection with measured speed data aid diagnosis of gear faults?
a17857d1a641623051cc8b231abd516b,1,['deep learning'],deep learning,deep learning
19097f187aee29be76a702aaed4e9804,1,['radiology and radiation science'],radiology and radiation science,radiology and radiation science
5fd845420b105f529c31c74fb86504c5,1,['language exposure on vocabulary development'],language exposure on vocabulary development,language exposure on vocabulary development
4d7b5816864a9cbbda5736d6b8811ca6,1,['Which structural property from simplified models best improves robustness under heterogeneous local data?'],Which structural property from simplified models best improves robustness under heterogeneous local data?,Which structural property from simplified models best improves robustness under heterogeneous local data?
eca1fcfa5b2b0492daa1a676159ac1a0,1,['influence of spending habits of students'],influence of spending habits of students,influence of spending habits of students
b6e06b28a92115be99a5174a293a288a,1,['origami architecture'],origami architecture,origami architecture
699de647eba43f9efb7cd502b205b150,1,['stem cells in neurology'],stem cells in neurology,stem cells in neurology
547f504ff3c897aa262396385d4af920,1,['yoshua bengio'],yoshua bengio,yoshua bengio
ef5f18ea2659e8dc4f0281f584766c97,1,['images war'],images war,images war
73bc7287303fb97921389ffba0266c13,1,['time management skills of students'],time management skills of students,time management skills of students
c7ac0c6292e5c67406659959b4dfaad5,1,['consumer confidence index'],consumer confidence index,consumer confidence index
36f5e25b282583b2865d30f5f7a76644,1,['korean war'],korean war,korean war
deba42a6236611aa30d7bb2ef9427601,1,['tiktok and self-esteem'],tiktok and self-esteem,tiktok and self-esteem
a9a63e739920dd93c6ac374c8cf0f8c2,1,['bim'],bim,bim
68c5b9881e6e02e7d8a5bcc996547ef8,1,['inclusive recruitment'],inclusive recruitment,inclusive recruitment
804711f54939af9622c3c7614da85298,1,['How well do trial-specific early composite benefits predict broader pooled-event reductions?'],How well do trial-specific early composite benefits predict broader pooled-event reductions?,How well do trial-specific early composite benefits predict broader pooled-event reductions?
c37929083efcca441e978ee27a5ddd7d,1,['psittacines radiography'],psittacines radiography,psittacines radiography
d2af595f032a1958c62ceea6b1545833,1,['nostalgia marketing'],nostalgia marketing,nostalgia marketing
6e6321656b1380055bb3cc611ab07e43,1,['parenting style and involvement in the academic performance of grade 6 learners'],parenting style and involvement in the academic performance of grade 6 learners,parenting style and involvement in the academic performance of grade 6 learners
a51420961c3596d8b269354d07514dd6,1,['students'],students,students
a62f9ceb4838c5de23d0028a1ba20d97,1,['How does household wealth influence choosing planned surgical birth?'],How does household wealth influence choosing planned surgical birth?,How does household wealth influence choosing planned surgical birth?
d1098d6d4857c785239c3b3e7d8d64d2,1,['factors influencing the use of chatgpt in student learning'],factors influencing the use of chatgpt in student learning,factors influencing the use of chatgpt in student learning
1a67fb46391aa322060d761dc65971a9,1,['correlation between parenting styles and student self esteem'],correlation between parenting styles and student self esteem,correlation between parenting styles and student self esteem
4befebbcc2ff66f381be9a1bbcf83417,1,['okanagan historical society'],okanagan historical society,okanagan historical society
a64aae27da8e92c91015c275eb443a14,1,['stress students academic productivity'],stress students academic productivity,stress students academic productivity
b8532cfb9f1bf3bf68b8e9b5458dcc51,1,['related studies of channel accessibility in preparedness and effectiveness during emergency situations'],related studies of channel accessibility in preparedness and effectiveness during emergency situations,related studies of channel accessibility in preparedness and effectiveness during emergency situations
8fd57bca3d2dee0fb125a322eb8da004,1,['informational search'],informational search,informational search
1af2260d1db1803f299c9579d769eaaf,1,['effects of using chatgpt on the research subject'],effects of using chatgpt on the research subject,effects of using chatgpt on the research subject
949bf1f276a13d297105d8845b540e3c,1,['adms smart grid'],adms smart grid,adms smart grid
4627d57561793b7e8b4d458a16554ae7,1,['women empowerment'],women empowerment,women empowerment
74569bc356c88f520309e1dc2582fba1,1,['data mining'],data mining,data mining
b03967139f4c766616cf95958948438c,1,['academic distraction'],academic distraction,academic distraction
c0682123597d0b1027f59cabe06e19b9,1,['psittacines'],psittacines,psittacines
c434188f8d2aa3111765a091749c3ef5,1,['chemical recycling extruder'],chemical recycling extruder,chemical recycling extruder
540992ac0d6d1987574cf71fee06485a,1,['sufism'],sufism,sufism
67f8b0b8c80910677c062be26466333e,1,['effects of social media algorithms'],effects of social media algorithms,effects of social media algorithms
9b1940902ef226fc568687e959777ff9,1,['chemistry education'],chemistry education,chemistry education
a9aeb7d21d67443569840c785cbc48bb,1,['coal gasification'],coal gasification,coal gasification
670c9172280572387d4aa7562dea26f9,1,['water content'],water content,water content
357430e58b89f8aab997560de0f66e80,1,['ai in drug development'],ai in drug development,ai in drug development
f10218c858ed40f612c1888bc8223d2f,1,['Which design choices best enable teacher development for technology-ready faith-based elementary schools?'],Which design choices best enable teacher development for technology-ready faith-based elementary schools?,Which design choices best enable teacher development for technology-ready faith-based elementary schools?
450249b76d9d2023ee927a18ea4eb0da,1,['implementation of stem program'],implementation of stem program,implementation of stem program
79959e9fd558013a774897fb2d760ac1,1,['geographic information system'],geographic information system,geographic information system
d6e0c8db96b3118ebdf59c57fb717dd7,1,['formulation and efficacy testing of disinfectant'],formulation and efficacy testing of disinfectant,formulation and efficacy testing of disinfectant
46395a3cf66a9f6a75c89354410d1493,1,['How should pesticide class–specific findings shape prevention priorities for farm households?'],How should pesticide class–specific findings shape prevention priorities for farm households?,How should pesticide class–specific findings shape prevention priorities for farm households?
b791ff63a203b978cd20beac6597d084,1,['estate management'],estate management,estate management
9d698ee46c1f1ec0c697e69fc138133c,1,['spherical harmonics slater orbitals'],spherical harmonics slater orbitals,spherical harmonics slater orbitals
3af92c9858b2150b92369b71e7c4e121,1,['lstm'],lstm,lstm
4bf79a0d16ffc2b9be8b6849c88ce244,1,['centrifugal compressor'],centrifugal compressor,centrifugal compressor
589374fa626019dae74b8170b7f4c4d7,1,['awareness of ai and deepfakes'],awareness of ai and deepfakes,awareness of ai and deepfakes
a426dd2b70d18bf1cd82f6009baade47,1,['multi-agent cooperative control'],multi-agent cooperative control,multi-agent cooperative control
860fc9e42321e79d54dbf743bbffef1c,1,['wagner ukraine'],wagner ukraine,wagner ukraine
10473e1ae72fefe5e8d30d34505abd02,1,['inclusive education for student with disabilities'],inclusive education for student with disabilities,inclusive education for student with disabilities
18ce9eb1855f3a2e6d7bf9586b88f77f,1,['social media usage college students'],social media usage college students,social media usage college students
ed4ab7c72b4729237533df75b6d49ba9,1,['effects of industrial wastes on fresh water ecosystems in pakistan'],effects of industrial wastes on fresh water ecosystems in pakistan,effects of industrial wastes on fresh water ecosystems in pakistan
78d5fc8dabcc6baf31f0060d3101065b,1,['salt-tolerant crops'],salt-tolerant crops,salt-tolerant crops
5a306c1090217bbd3c8b0613fbbc0504,1,['langauge delay in children academic achievement'],langauge delay in children academic achievement,langauge delay in children academic achievement
62b27acf91c11c6c9d760cfdc0c33022,1,['waste segregation'],waste segregation,waste segregation
40e9bb99e4c1ce609116b113d9636ee1,1,['social media'],social media,social media
fb08c8d1e8056912964b802d33419dc0,1,['time management'],time management,time management
27db1a4cf0abbcfd48263555da200457,1,['concussion nfl'],concussion nfl,concussion nfl
2a6cbdaebcd9a4eb732ae5a999f093e7,1,['x-ray overuse or overutilization'],x-ray overuse or overutilization,x-ray overuse or overutilization
5eec5e196482a495754671529a4822ab,1,['plate tectonics'],plate tectonics,plate tectonics
b487748cc8000635fd861f04743ab18b,1,['the role of augmented reality ar in enhancing the pre visit experience for cultural tourist'],the role of augmented reality ar in enhancing the pre visit experience for cultural tourist,the role of augmented reality ar in enhancing the pre visit experience for cultural tourist
5e62449a564d4f5c079ce124e8060dcd,1,['demography and social statistics'],demography and social statistics,demography and social statistics
efd0b10c27ecb230ee4e741d3a53e479,1,['personality disorders'],personality disorders,personality disorders
ae4fa4b3e4ffa37525288e868703a668,1,['What tradeoff allows reducing expert labels while preserving high recall for a rare event class?'],What tradeoff allows reducing expert labels while preserving high recall for a rare event class?,What tradeoff allows reducing expert labels while preserving high recall for a rare event class?
394376c1c20bfe2fc9f3896f1193a855,1,['language learning strategies'],language learning strategies,language learning strategies
ed79fa2457530c1961cffee00b364ee5,1,['algae'],algae,algae
9e47d2c8342a22a8f19be414d9f10c33,1,['research on the innovation of commercial banks in the era of fintech'],research on the innovation of commercial banks in the era of fintech,research on the innovation of commercial banks in the era of fintech
8b3d687daee528cc43fc6bf300117dd6,1,['artificial intelligence'],artificial intelligence,artificial intelligence
2b7257cf6ccf44d5a34fcd712e47a23e,1,['aksyonov military aircraft'],aksyonov military aircraft,aksyonov military aircraft
c46d8e93a859a20db0043ee25e982729,1,['ancient egyptian mathematics'],ancient egyptian mathematics,ancient egyptian mathematics
580520dc9b3161d0f2cbb317f8e17f73,1,['food waste'],food waste,food waste
6d1f50ca1928f230f5e90b7573fedc85,1,['sleep deprivation academic performance'],sleep deprivation academic performance,sleep deprivation academic performance
e7af2cc348367123486adf9fed0809bc,1,['future of work in the hospitality industry based on adaptation to changing workforce dynamics after the pandemic'],future of work in the hospitality industry based on adaptation to changing workforce dynamics after the pandemic,future of work in the hospitality industry based on adaptation to changing workforce dynamics after the pandemic
a75d54b247cf81049aa2506fa2d5b776,1,['linguistics and languages'],linguistics and languages,linguistics and languages
ebad9d28b3499477b88aa1858932bc46,1,['renewable energy innovations'],renewable energy innovations,renewable energy innovations
1310f52fce552627d28dad6bd416c05a,1,['devops'],devops,devops
484c205a0cae4fc47f5fed10f6bff419,1,['qr code scanner'],qr code scanner,qr code scanner
0cdffb4b75ae8f8d562c11598dca0375,1,['work'],work,work
80ef3402a6825b0b34386923fddd177f,1,['zero trust security'],zero trust security,zero trust security
a267b55325bb8834cd478d7f644d333d,1,['organizational citizenship'],organizational citizenship,organizational citizenship
9b2923bddc4938bcb6f1cd27169ed2e1,1,['Which evaluation metric best captures novelty as realism of generated artifacts increases?'],Which evaluation metric best captures novelty as realism of generated artifacts increases?,Which evaluation metric best captures novelty as realism of generated artifacts increases?
81a8aee94001d9b79f7a0c75722fec3e,1,['the role of technology in transforming business operations'],the role of technology in transforming business operations,the role of technology in transforming business operations
1263e06c76c430bb56790bf6df4e04d3,1,['gender differences in creativity'],gender differences in creativity,gender differences in creativity
28fa235187d66c13cad33bb4786e7d25,1,['turbid productive waters'],turbid productive waters,turbid productive waters
8a1fbc42a27ef093c503103e1368f3d4,1,['economic diplomacy'],economic diplomacy,economic diplomacy
de68cd9447f8e287aca0fd9909843e62,1,['teacher'],teacher,teacher
8a9c0dce5fb4514251232bcc23734c1d,1,['peperomia pellucida extract cancer'],peperomia pellucida extract cancer,peperomia pellucida extract cancer
a548bdf65e046ce3ed7c76ee937c6371,1,['4d seismic reservoir monitoring'],4d seismic reservoir monitoring,4d seismic reservoir monitoring
2e39ed6d7baf9291ce1ea863044d20e6,1,['study about dreaming while sleeping'],study about dreaming while sleeping,study about dreaming while sleeping
e9527aec68523b8ceb74e12b8685b96a,1,['rural revitalization'],rural revitalization,rural revitalization
abbb6962a34a5824a33e7662482b1af1,1,['fast food'],fast food,fast food
93552e2eb156f5c55161c41a17f2a01a,1,['academic pressure'],academic pressure,academic pressure
eafd6da36df1482185c6f357d6ad96c9,1,['biology education'],biology education,biology education
bc4f726ad66b9127936c8cfc09fce9ba,1,['molkino terrorist'],molkino terrorist,molkino terrorist
38a9ce121cf1f4652b62c5b2b9427d7b,1,['evaluating the effectiveness of ai chatbots on academic support for students and teachers'],evaluating the effectiveness of ai chatbots on academic support for students and teachers,evaluating the effectiveness of ai chatbots on academic support for students and teachers
34a6e05ec6153658893268ee9b6d215e,1,['forein study disruptive students'],forein study disruptive students,forein study disruptive students
29c96582836735743bd33815ac37ebed,1,['serendipity in relationships'],serendipity in relationships,serendipity in relationships
1bf216d64c70401c54241fc48b650589,1,['alcoholic drinks'],alcoholic drinks,alcoholic drinks
2968da058e3815aa98b19e8c9e450174,1,['relationship of empathy and reading'],relationship of empathy and reading,relationship of empathy and reading
f40ef0e5ac56c2ae1febd382b3ff319c,1,['Which procedural indicator best predicts unfavorable remodeling after balloon-based coronary therapy?'],Which procedural indicator best predicts unfavorable remodeling after balloon-based coronary therapy?,Which procedural indicator best predicts unfavorable remodeling after balloon-based coronary therapy?
d67109e1ca0ae6026ec27f59815c7a5a,1,['remote and work and perception'],remote and work and perception,remote and work and perception
02650836154c6cd4cddacd509daa77e4,1,['research related literature about crab mentality'],research related literature about crab mentality,research related literature about crab mentality
587bda4ca6b1f73cc861c7426a6db876,1,['Which clinical features best identify patients needing targeted dietary and psychosocial support?'],Which clinical features best identify patients needing targeted dietary and psychosocial support?,Which clinical features best identify patients needing targeted dietary and psychosocial support?
dafa6a7621584029946f9a95e63d8f86,1,['new generation vaccines'],new generation vaccines,new generation vaccines
996da14cdab862d1638b4be35dee6d1a,1,['tiktok content consumed'],tiktok content consumed,tiktok content consumed
c946b96eba4e2d1bca272fa87710e779,1,['publicidad no convencional'],publicidad no convencional,publicidad no convencional
653094b26e8efc3bd5d6ca6124575e93,1,['cbrn terrorism'],cbrn terrorism,cbrn terrorism
5f1b26a0bf7242b16385a5d5bbe0ee1c,1,['teacher turnover'],teacher turnover,teacher turnover
0232d2be72b1ea33504cd2481b591bad,1,['market mechanisms and government policies'],market mechanisms and government policies,market mechanisms and government policies
e719889da1459bd9afb50cda8643922d,1,['indonesian poetry analysis'],indonesian poetry analysis,indonesian poetry analysis
43bccec49254f0f5e094653bcda105ec,1,['car-nk'],car-nk,car-nk
13df3c9c68658cdc669b48cf98cf054c,1,['serendipity and fate in relationships'],serendipity and fate in relationships,serendipity and fate in relationships
5df3e1cabb549f135ff50a4104d91b68,1,['cramming'],cramming,cramming
e777fb4e6e6a57942bf45de4eb297a56,1,['kondraske'],kondraske,kondraske
35c0f17bf81e581290efc4a10449174f,1,['mental health and wellbeing'],mental health and wellbeing,mental health and wellbeing
af166e3441b23e4e8457fd45b70e0fb6,1,['prevention in high-risk populations'],prevention in high-risk populations,prevention in high-risk populations
4167db3ceb4e698b81750084e926f71c,1,['social media usage'],social media usage,social media usage
53e7b128b38d074d94828c9a5cdd5b96,1,['Which property of preserved examples most aids generalization across diverse language tasks?'],Which property of preserved examples most aids generalization across diverse language tasks?,Which property of preserved examples most aids generalization across diverse language tasks?
07de8bb1d0c7ff01414217a403530dae,1,['Which clinical features should prompt using a non-standard somatostatin analogue as initial therapy?'],Which clinical features should prompt using a non-standard somatostatin analogue as initial therapy?,Which clinical features should prompt using a non-standard somatostatin analogue as initial therapy?
aa42e210a361571ff4d1fad892b75d15,1,['How can a device avoid futile access attempts while still selecting connectivity for best throughput?'],How can a device avoid futile access attempts while still selecting connectivity for best throughput?,How can a device avoid futile access attempts while still selecting connectivity for best throughput?
9af879f2df293898cb7a6cb4de5c4a86,1,['How can hit-grouping window instability be mitigated while preserving sensitivity to extremely slow events?'],How can hit-grouping window instability be mitigated while preserving sensitivity to extremely slow events?,How can hit-grouping window instability be mitigated while preserving sensitivity to extremely slow events?
0ed9bd6ce8865fdc1ab11848ad5cb34d,1,['agricultural education'],agricultural education,agricultural education
97cd75e03f70656bd942ea27ebd7babd,1,['inclusive hiring'],inclusive hiring,inclusive hiring
5885104b2d9bf8b2fcdf001a4036e794,1,['edible films'],edible films,edible films
b8dff6e4aa9ad336877fdeb9b0625dd7,1,['garch with error distributions'],garch with error distributions,garch with error distributions
d49230534d6a85b88426fb74707a9cbb,1,['psychedelics in psychiatry'],psychedelics in psychiatry,psychedelics in psychiatry
c9b997d3c4f61be186e26b3b6a962c41,1,['reading comprehension'],reading comprehension,reading comprehension
08157a20b3524f357970d74b9ba928d7,1,['How can early stakeholder conflict resolution improve translation of gender-sensitive policy into practice?'],How can early stakeholder conflict resolution improve translation of gender-sensitive policy into practice?,How can early stakeholder conflict resolution improve translation of gender-sensitive policy into practice?
be9f4fce98c08e07a1031021aeba3c82,1,['blockchain technology'],blockchain technology,blockchain technology
595c6071ed5e951754bce1f117129a8a,1,['impact of excessive use of mobile phones on sleep quality'],impact of excessive use of mobile phones on sleep quality,impact of excessive use of mobile phones on sleep quality
68fbde16e52e4b35607d536ca647192d,1,['diabetes'],diabetes,diabetes
9091fd80834695b8c696adf3b6f20d55,1,['convoy commitment of the armed forces'],convoy commitment of the armed forces,convoy commitment of the armed forces
34b7db10871b2425e44af504623590e3,1,['microbiome and obesity'],microbiome and obesity,microbiome and obesity
398d7a1b06954e06c82fe75d308fb0b8,1,['chalcone'],chalcone,chalcone
e488973389507903bf51865953b4ef5a,1,['costs'],costs,costs
76be2c2feaa6afe12f0cf06cd869b150,1,['financial literacy and spending habits'],financial literacy and spending habits,financial literacy and spending habits
fc09339c0ca5f6dae18cefd835c3e561,1,['research on compensation management'],research on compensation management,research on compensation management
81a038f937cdcf788bc481699a37f494,1,['banana blossom'],banana blossom,banana blossom
4f6aeec241df5b2a68ef8109473935cb,1,['financial literacy and online impulse buying behavior'],financial literacy and online impulse buying behavior,financial literacy and online impulse buying behavior
e6e893da3894729143d234f196c99fa2,1,['emotional intelligence'],emotional intelligence,emotional intelligence
f62685636ac62d31531f6ddf49d0a0df,1,['social media effects international'],social media effects international,social media effects international
5ef548b174d925e873f8b5f138d6d8af,1,['What tradeoff arises when combining surfactant-rich fluids with acid-sensitive porous carriers?'],What tradeoff arises when combining surfactant-rich fluids with acid-sensitive porous carriers?,What tradeoff arises when combining surfactant-rich fluids with acid-sensitive porous carriers?
07951e806894cd18d0b216fb2a7b074b,1,['public private partnerships and procurement'],public private partnerships and procurement,public private partnerships and procurement
