session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
0,Academic Researcher,Using Fuzzy,fuzzy logic applications,2,0.2606,0.226,fuzzy logic applications | fuzzy function approximators | fuzzy systems function approximation | function approximators in fuzzy logic | fuzzy systems types and architectures,P1=0.1943(Rank4) | P2=0.2606(Rank1) | P3=0.1943(Rank5) | P4=0.2203(Rank3) | P5=0.2606(Rank2),0.805,0.6797,P1=0.6388 | P2=0.805 | P3=0.6476 | P4=0.615 | P5=0.6922
11,Sustainability & Climate Researcher,intelligent food packaging,chitosan based food packaging applications,5,0.3563,0.1521,chitosan based food packaging applications | biodegradable packaging materials | chitosan packaging applications | chitosan biodegradable barriers | bioplastic sensor technology,P1=0.202(Rank2) | P2=0.0(Rank4) | P3=0.202(Rank3) | P4=0.0(Rank5) | P5=0.3563(Rank1),0.6653,0.4579,P1=0.548 | P2=0.2417 | P3=0.5828 | P4=0.2518 | P5=0.6653
12,Academic Researcher,"24th ACM Symposium on Parallelism in Algorithms and Architectures, SPAA '12, Pittsburgh, PA, USA, June 25-27, 2012",parallel algorithms ACM,4,0.173,0.0499,parallel algorithms ACM | parallel algorithms techniques | parallel processing data structures | parallel processing techniques for homogeneous cores | parallel graph data structures,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.173(Rank1) | P5=0.0764(Rank2),0.7831,0.6674,P1=0.627 | P2=0.5896 | P3=0.5874 | P4=0.7831 | P5=0.7499
13,Academic Researcher,effectiveness of the  international criminal court,icc jurisdiction state party nationals,1,0.0,0.0,icc jurisdiction state party nationals | icc prosecution methodology papers | icc jurisdiction by nationality | icc prosecutions by state nationality | icc state party prosecution,P1=0.0(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.5617,0.5124,P1=0.4328 | P2=0.5497 | P3=0.5012 | P4=0.5617 | P5=0.5166
14,Healthcare & Life Sciences Researcher,assessment,pain assessment tools ICU,1,0.38,0.076,pain assessment tools ICU | pain management icu protocols | ICU protocol updates pain management | pain sedation ICU scale studies | pain sedation scales intensive care unit populations,P1=0.38(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.3083,0.1602,P1=0.3083 | P2=0.0982 | P3=0.0651 | P4=0.172 | P5=0.1572
15,Sustainability & Climate Researcher,insurance sector climate change adaptation,insurance sector climate change mitigation strategies,3,0.5803,0.2929,insurance sector climate change mitigation strategies | solar energy integration climate change | insurance sector renewable energy integration | insurance sector solar energy systems | climate resilient solar engineering,P1=0.2523(Rank2) | P2=0.1274(Rank5) | P3=0.5803(Rank1) | P4=0.2523(Rank3) | P5=0.2523(Rank4),0.8655,0.5823,P1=0.5252 | P2=0.3848 | P3=0.8655 | P4=0.6168 | P5=0.5191
16,Engineering & Tech Developer,FC-ack,fc-ack vs as-ack,5,0.7091,0.209,fc-ack vs as-ack | tcp ack | network protocol examples | acknowledgement protocol interactions | linux kernel development tools,P1=0.0(Rank3) | P2=0.3361(Rank2) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.7091(Rank1),0.7681,0.3281,P1=0.069 | P2=0.5197 | P3=0.1881 | P4=0.0955 | P5=0.7681
17,Student Researcher,influence of the parenting styles on academic performance on children aged 3 years to 6 years,parenting styles on academic performance by age range,3,0.3446,0.1634,parenting styles on academic performance by age range | types of parenting and academic outcomes | parenting styles by age group | parenting style effects young children academically | parenting interventions for preschoolers,P1=0.0646(Rank5) | P2=0.1225(Rank3) | P3=0.3446(Rank1) | P4=0.1096(Rank4) | P5=0.1758(Rank2),0.9064,0.7135,P1=0.5102 | P2=0.6126 | P3=0.9064 | P4=0.8157 | P5=0.7227
18,Student Researcher,Angela Anne Coco Punic Wars,punic wars angela anne coco,4,1.0,0.459,punic wars angela anne coco | punic history wars | Causes Punic Wars | punic wars roman history | punic wars scholarly resources,P1=0.3563(Rank2) | P2=0.2912(Rank4) | P3=0.3563(Rank3) | P4=1.0(Rank1) | P5=0.2912(Rank5),0.9837,0.5956,P1=0.5452 | P2=0.4893 | P3=0.4887 | P4=0.9837 | P5=0.471
19,Policy & Security Analyst,Policy Search by Dynamic Programming.,dynamic programming algorithms,2,0.3563,0.1981,dynamic programming algorithms | policy search keyword | policy optimization algorithms | greedy policy optimization algorithms | dp algorithms in politics,P1=0.1506(Rank3) | P2=0.3563(Rank1) | P3=0.0(Rank5) | P4=0.1274(Rank4) | P5=0.3563(Rank2),0.7403,0.6459,P1=0.7403 | P2=0.6948 | P3=0.4291 | P4=0.6744 | P5=0.691
20,Academic Researcher,"CAR-T,",car nk vs car t,3,0.7093,0.4597,car nk vs car t | car t nk outcomes | car nk treatment outcomes | CAR NK cell therapy | CAR T cancer treatment success,P1=0.4494(Rank2) | P2=0.38(Rank3) | P3=0.7093(Rank1) | P4=0.38(Rank4) | P5=0.38(Rank5),0.57,0.4308,P1=0.4857 | P2=0.2903 | P3=0.57 | P4=0.3319 | P5=0.4759
21,Academic Researcher,A Model-Driven Framework for Managing the QoS of Collaborative P2P Service-Based Applications.,model checking p2p applications,4,0.282,0.171,model checking p2p applications | aspectj qos p2p services | p2p software engineering qos | model checking with aspectJ p2p | aspectj qos management,P1=0.0904(Rank5) | P2=0.1683(Rank2) | P3=0.1683(Rank3) | P4=0.282(Rank1) | P5=0.1458(Rank4),0.7463,0.5749,P1=0.4959 | P2=0.6309 | P3=0.7463 | P4=0.6149 | P5=0.3866
22,Student Researcher,Postcolonial/Decolonial Jeremy Punt,postcolonial jeremy punt articles,3,0.603,0.3099,postcolonial jeremy punt articles | postcolonial decolonial education | postcolonial theory | postcolonial theory keywords | decolonial examples in education,P1=0.4112(Rank2) | P2=0.2203(Rank3) | P3=0.603(Rank1) | P4=0.1708(Rank4) | P5=0.1444(Rank5),0.8725,0.5769,P1=0.5541 | P2=0.5459 | P3=0.8725 | P4=0.539 | P5=0.3728
23,Business & Economics Researcher,Costs,compliance costs adaptation,1,0.4494,0.0899,compliance costs adaptation | short term work policies | social commerce cost optimization | social commerce compliance cost management strategies | regulatory compliance guidelines,P1=0.4494(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.495,0.3244,P1=0.4804 | P2=0.1925 | P3=0.495 | P4=0.3861 | P5=0.0678
24,Business & Economics Researcher,"""baking soda"" as fire extinguisher agent",baking soda fire extinguisher products,1,0.5803,0.2904,baking soda fire extinguisher products | baking soda chemical fire suppression | household fire extinguisher agents | household items for fire | chemical fire foam alternatives,P1=0.5803(Rank1) | P2=0.1152(Rank4) | P3=0.1152(Rank5) | P4=0.2606(Rank3) | P5=0.3809(Rank2),0.9025,0.6958,P1=0.9025 | P2=0.4445 | P3=0.5927 | P4=0.6933 | P5=0.8459
25,Student Researcher,learning transformation due to AI,ai education impact,2,0.1506,0.1315,ai education impact | ai educational tools | ai integration classroom strategies | ai education impact studies | ai impact on student performance metrics,P1=0.1016(Rank5) | P2=0.1506(Rank1) | P3=0.1506(Rank2) | P4=0.1274(Rank3) | P5=0.1274(Rank4),0.4169,0.3756,P1=0.31 | P2=0.4012 | P3=0.4169 | P4=0.4059 | P5=0.3439
26,Student Researcher,Benefits in PA For students with disabilities,effective short term interventions for students with disabilities in PE and PA,4,0.5028,0.1218,effective short term interventions for students with disabilities in PE and PA | disability support in sports | disability sport participation | physicalactivityinschools | adaptive physical education,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.106(Rank2) | P4=0.5028(Rank1) | P5=0.0(Rank5),0.7788,0.4357,P1=0.4042 | P2=0.229 | P3=0.4731 | P4=0.7788 | P5=0.2936
27,Engineering & Tech Developer,MT-LB armored vehicle combat vehicle,combat vehicle armor materials,3,0.3721,0.1133,combat vehicle armor materials | btr 80 infantry vehicle specs | btr_80a_performance | btr tracked wheel | btr engine specs,P1=0.1943(Rank2) | P2=0.0(Rank3) | P3=0.3721(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6777,0.3343,P1=0.538 | P2=0.0308 | P3=0.6777 | P4=0.2397 | P5=0.1853
28,Student Researcher,methane carbon dioxide,methane vs carbon dioxide alternatives,1,0.657,0.4982,methane vs carbon dioxide alternatives | methane vs carbon dioxide validation | carbon dioxide effects | carbon dioxide emissions | climate change impact methane,P1=0.657(Rank1) | P2=0.5031(Rank3) | P3=0.5031(Rank4) | P4=0.1708(Rank5) | P5=0.657(Rank2),0.8022,0.6937,P1=0.8022 | P2=0.5973 | P3=0.6534 | P4=0.6584 | P5=0.7572
29,Student Researcher,The Effect of Canteen Menu Variety on Consumer Satisfaction of Grade 12 Students 2020,consumer satisfaction grade 12 students,2,0.4325,0.2,consumer satisfaction grade 12 students | consumer satisfaction factors | canteen menu options | canteen menus student satisfaction studies | student satisfaction survey methods,P1=0.0687(Rank5) | P2=0.4325(Rank1) | P3=0.1842(Rank2) | P4=0.1842(Rank3) | P5=0.1305(Rank4),0.8323,0.6491,P1=0.4794 | P2=0.7496 | P3=0.5834 | P4=0.601 | P5=0.8323
30,Student Researcher,Rrl Lemon shoe polis,author studies lemon shoe,2,0.3361,0.1927,author studies lemon shoe | lemon shoe polish authors | lemon shoe polish effectiveness study | education studies by author | scholarly LSP research,P1=0.0(Rank4) | P2=0.3361(Rank1) | P3=0.3361(Rank2) | P4=0.0(Rank5) | P5=0.2912(Rank3),0.6504,0.4039,P1=0.0282 | P2=0.6504 | P3=0.6134 | P4=0.1689 | P5=0.5588
31,Student Researcher,injured athletes,psychological strategies for injured athletes,3,0.5023,0.1393,psychological strategies for injured athletes | injured athlete positive self talk | youth athlete injury prevention | injury recovery psychological interventions | psychological coping mechanisms,P1=0.1943(Rank2) | P2=0.0(Rank3) | P3=0.5023(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6812,0.4909,P1=0.5795 | P2=0.6812 | P3=0.6529 | P4=0.4659 | P5=0.075
32,Business & Economics Researcher,"Business efficiency optimization, user experience enhancement, technological integration.",efficiency optimization techniques,1,0.2695,0.1644,efficiency optimization techniques | business process optimization strategies | business process automation | business process improvement | business process automation software,P1=0.2695(Rank1) | P2=0.1167(Rank3) | P3=0.0987(Rank5) | P4=0.2203(Rank2) | P5=0.1167(Rank4),0.5013,0.3809,P1=0.5013 | P2=0.279 | P3=0.2651 | P4=0.4466 | P5=0.4127
33,Engineering & Tech Developer,object image detection,object detection image processing,1,0.7765,0.4909,object detection image processing | object detection techniques | indian object detection | image detection tools indus | detection methods,P1=0.7765(Rank1) | P2=0.5031(Rank2) | P3=0.5031(Rank3) | P4=0.2606(Rank5) | P5=0.4112(Rank4),0.9285,0.7442,P1=0.9285 | P2=0.849 | P3=0.6794 | P4=0.582 | P5=0.6822
34,Engineering & Tech Developer,Inorganic block copolymer lithography,inorganic block copolymer lithography results,1,0.8182,0.3281,inorganic block copolymer lithography results | block copolymer synthesis | block copolymer materials | short form search optimization | polymer property testing,P1=0.8182(Rank1) | P2=0.4112(Rank2) | P3=0.4112(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.98,0.5499,P1=0.98 | P2=0.6846 | P3=0.7253 | P4=0.0097 | P5=0.3498
35,Academic Researcher,COVID-19 and Antimicrobial Resistance: A Review,CT patterns antimicrobial resistance,1,0.2606,0.1858,CT patterns antimicrobial resistance | COVID-19 hospital acquired infections | CT pulmonary imaging covid-19 | covid ct segmentation techniques | ct pattern quantification methods covid,P1=0.2606(Rank1) | P2=0.1152(Rank4) | P3=0.2258(Rank2) | P4=0.1016(Rank5) | P5=0.2258(Rank3),0.682,0.4186,P1=0.4993 | P2=0.2347 | P3=0.682 | P4=0.2233 | P5=0.4535
36,Academic Researcher,An architecture for managing QoS-enabled VPNs over the Internet,qos enabled vpn application examples,5,0.1684,0.0842,qos enabled vpn application examples | optimization techniques qos vpn | qos corba networking protocols | qos optimization techniques low latency | CORBA middleware alternatives,P1=0.0(Rank5) | P2=0.0773(Rank4) | P3=0.0877(Rank2) | P4=0.0877(Rank3) | P5=0.1684(Rank1),0.695,0.5124,P1=0.2368 | P2=0.3942 | P3=0.6798 | P4=0.5564 | P5=0.695
37,Academic Researcher,Impact of COVID-19 on the Construction Sector: An Overview,covid 19 vaccine adjuvants,1,0.1943,0.0564,covid 19 vaccine adjuvants | COVID vaccine development strategies | coronavirus vaccination treatment materials | B cell subsets and mRNA vaccines | mRNA vaccine development strategies,P1=0.1943(Rank1) | P2=0.0(Rank3) | P3=0.0877(Rank2) | P4=0.0(Rank4) | P5=0.0(Rank5),0.4028,0.233,P1=0.3534 | P2=0.2644 | P3=0.4028 | P4=0.0652 | P5=0.079
38,Healthcare & Life Sciences Researcher,Dynamic chest radiography as a novel minimally invasive hemodynamic imaging method in patients with heart failure,adherence interventions heart failure patients,3,0.2202,0.1632,adherence interventions heart failure patients | heart failure biomarkers | heart failure treatment compounds sudan | pharmacologic interventions for heart failure | non invasive hemodynamics imaging techniques,P1=0.1907(Rank2) | P2=0.135(Rank3) | P3=0.2202(Rank1) | P4=0.135(Rank4) | P5=0.135(Rank5),0.6168,0.4216,P1=0.4509 | P2=0.2811 | P3=0.2871 | P4=0.4721 | P5=0.6168
39,Student Researcher,Linear Programming.,linear programming applications,2,0.7093,0.5166,linear programming applications | linear programming tutorials | linear programming performance | linear prog solvers | programming paradigms transactional vs procedural,P1=0.2606(Rank4) | P2=0.7093(Rank1) | P3=0.7093(Rank2) | P4=0.7093(Rank3) | P5=0.1943(Rank5),0.8606,0.6497,P1=0.5271 | P2=0.8606 | P3=0.7535 | P4=0.8237 | P5=0.2838
40,Sustainability & Climate Researcher,Time-depended Quenching Behaviors of Multi-dye Systems by Single-Walled Carbon Nanotubes,carbon nanotube surface chemistry,1,0.0764,0.071,carbon nanotube surface chemistry | carbon nanotube solar efficiency | renewable energy carbon nanotube applications | carbon nanotube oxazepam adsorption kinetics | carbon nanotube applications in energy,P1=0.0764(Rank1) | P2=0.0764(Rank2) | P3=0.0674(Rank3) | P4=0.0674(Rank4) | P5=0.0674(Rank5),0.5003,0.4487,P1=0.4735 | P2=0.4398 | P3=0.4741 | P4=0.3556 | P5=0.5003
41,Academic Researcher,Synthesis and water permeation studies of polysulfone based composite   membranes having vertically aligned CNTs,polysulfone based composite membrane properties,5,0.2288,0.1127,polysulfone based composite membrane properties | polysulfone cnt nanostructuring | CNT synthesis techniques | composite membrane optimization | pool boiling CNT membranes,P1=0.087(Rank2) | P2=0.0736(Rank5) | P3=0.087(Rank3) | P4=0.087(Rank4) | P5=0.2288(Rank1),0.8163,0.5849,P1=0.619 | P2=0.5998 | P3=0.3266 | P4=0.5628 | P5=0.8163
42,Academic Researcher,Endothelin-1 promotes cell migration through epithelial-to-mesenchymal transition in human oral cancer,cordyceps sinensis extracts,1,0.0,0.0,cordyceps sinensis extracts | EMT_inhibitors_cordyceps_sinensis | naturally occurring anti fibrosis agents | cordyceps sinensis nucleosides nephropathy | emt inhibiting compounds,P1=0.0(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.1292,0.0761,P1=0.0537 | P2=0.1214 | P3=0.1292 | P4=0.0078 | P5=0.0682
43,Student Researcher,law and magic,law and magic theory,4,0.7765,0.3719,law and magic theory | law and magic corcos author works | law magic keywords | works by corcos | legal fiction books,P1=0.0(Rank4) | P2=0.5031(Rank3) | P3=0.0(Rank5) | P4=0.7765(Rank1) | P5=0.5797(Rank2),0.8784,0.6186,P1=0.2046 | P2=0.7828 | P3=0.5319 | P4=0.8784 | P5=0.6951
44,Academic Researcher,High-Order Incompressible Computational Fluid Dynamics on Modern Hardware Architectures,fluid dynamics modeling software,4,0.1943,0.1062,fluid dynamics modeling software | fluid dynamics modeling 3d bioreactors | Recent high order cfd papers | bioreactor aerodynamics cfd geometries | CFD cellular microenvironment,P1=0.1684(Rank2) | P2=0.0(Rank4) | P3=0.1684(Rank3) | P4=0.1943(Rank1) | P5=0.0(Rank5),0.5083,0.3484,P1=0.375 | P2=0.3115 | P3=0.3864 | P4=0.5083 | P5=0.1608
45,Academic Researcher,Treatment of abdominal aortic aneurysms--the right choice in 1998,abdominal aortic aneurysm inflammation recent studies,4,0.1506,0.0477,abdominal aortic aneurysm inflammation recent studies | treatment trial outcomes aortas | inflammation molecular markers AAA | aa inflammaration causes | AAA stent placement outcomes,P1=0.0(Rank3) | P2=0.0877(Rank2) | P3=0.0(Rank4) | P4=0.1506(Rank1) | P5=0.0(Rank5),0.7296,0.3593,P1=0.0668 | P2=0.5553 | P3=0.1581 | P4=0.7296 | P5=0.2869
46,Academic Researcher,Scientific Opinion on the pandemic (H1N1) 2009 influenza and its potential implications for animal health,animal health pandemic preparedness,5,0.2603,0.0802,animal health pandemic preparedness | h1n1 vaccine safety | Cambodia foot-and-mouth disease vaccines | zoonotic disease control veterinary practice | disease transmission in cambodian livestock,P1=0.0566(Rank3) | P2=0.084(Rank2) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.2603(Rank1),0.5804,0.4099,P1=0.2353 | P2=0.5208 | P3=0.3813 | P4=0.3317 | P5=0.5804
47,Academic Researcher,Isolation and characterization of dnaJ null mutants of Escherichia coli.,e. coli thermodynamic parameters dnaJ,3,0.1758,0.1235,e. coli thermodynamic parameters dnaJ | DNAj null mutant survival mechanisms | protein-protein interaction network escherichia coli | e coli metabolic pathways | E coli dna metabolic pathways,P1=0.0943(Rank4) | P2=0.1152(Rank3) | P3=0.1758(Rank1) | P4=0.0797(Rank5) | P5=0.1523(Rank2),0.7733,0.5774,P1=0.441 | P2=0.4422 | P3=0.6404 | P4=0.5901 | P5=0.7733
48,Student Researcher,effectiveness,shortage effectiveness intervention,4,0.4494,0.0899,shortage effectiveness intervention | undergraduate clinical education program authors | clinical education authors | author expertise | effective clinical education curriculum,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.4494(Rank1) | P5=0.0(Rank5),0.438,0.2459,P1=0.1085 | P2=0.2208 | P3=0.2287 | P4=0.438 | P5=0.2333
49,Student Researcher,Laboratory Safety practices,laboratory safety guidelines,1,0.5031,0.3998,laboratory safety guidelines | laboratory safety regulations | laboratory safety protocols | school laboratory safety with limited resources | lab safety protocols example,P1=0.5031(Rank1) | P2=0.1708(Rank5) | P3=0.3188(Rank4) | P4=0.5031(Rank2) | P5=0.5031(Rank3),0.9254,0.8685,P1=0.9254 | P2=0.8043 | P3=0.7957 | P4=0.8986 | P5=0.9187
50,Business & Economics Researcher,Electronic cigarettes for smoking cessation,smoking cessation author credibility,2,0.2912,0.1087,smoking cessation author credibility | men smoking cessation interactive video | nicotine replacement therapies | video creators | electric cigarette companies,P1=0.2523(Rank2) | P2=0.2912(Rank1) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.5799,0.4672,P1=0.5794 | P2=0.5695 | P3=0.5799 | P4=0.0468 | P5=0.5606
51,Academic Researcher,CRISPR/Cas9-Mediated Genome Editing in Epstein-Barr Virus-Transformed Lymphoblastoid B-Cell Lines,CRISPR/Cas9 editing efficiency optimization,2,0.2386,0.1658,CRISPR/Cas9 editing efficiency optimization | CRISPR Cas9 optimization techniques | Cas9 gene editing outcome pathway | CRISPR Cas9 gene expression outcomes | successful applications CRISPR EBV transformed cells,P1=0.1683(Rank2) | P2=0.2386(Rank1) | P3=0.1458(Rank3) | P4=0.1458(Rank4) | P5=0.1305(Rank5),0.6575,0.6028,P1=0.5632 | P2=0.5775 | P3=0.6287 | P4=0.5871 | P5=0.6575
52,Student Researcher,People who study higher education,co-construction higher education instructional strategies,4,0.2258,0.0676,co-construction higher education instructional strategies | higher ed instructional design authors | scholar search authors highereducation | instructional methodologies for co-construction | researcher studies on co construction,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.1123(Rank2) | P4=0.2258(Rank1) | P5=0.0(Rank5),0.51,0.3613,P1=0.51 | P2=0.2433 | P3=0.4682 | P4=0.3979 | P5=0.1871
53,Business & Economics Researcher,heat treatment flour year=2013,heat treatment flour industry,2,0.5101,0.376,heat treatment flour industry | heat treatment flour data 2014 | heat treatment flour by region | heat treatment applications | heat treated grains,P1=0.3563(Rank4) | P2=0.5101(Rank1) | P3=0.4316(Rank2) | P4=0.4316(Rank3) | P5=0.1506(Rank5),0.8961,0.6879,P1=0.4625 | P2=0.8033 | P3=0.8961 | P4=0.7329 | P5=0.5449
54,Healthcare & Life Sciences Researcher,Chronic congestive heart failure following diagnostic heart puncture or heart surgery. A complication due to accumulating haemopericardium,aminoglycosides treatment protocol heart failure haemopericardium,5,0.2925,0.2484,aminoglycosides treatment protocol heart failure haemopericardium | heart failure treatment options | biological pathways in heart failure | heart bleeds management | heart condition complications treatment,P1=0.229(Rank4) | P2=0.2824(Rank2) | P3=0.2447(Rank3) | P4=0.1936(Rank5) | P5=0.2925(Rank1),0.5642,0.4918,P1=0.5256 | P2=0.4722 | P3=0.3928 | P4=0.5042 | P5=0.5642
55,Sustainability & Climate Researcher,Relationships between Energy Efficiency on Output and Energy Efficiency on Carbon Emission,energy efficiency synergies,3,0.3808,0.1962,energy efficiency synergies | energy efficiency policy frameworks | renewable energy policy | carbon footprint building methods | carbon footprint reduction strategies,P1=0.1598(Rank3) | P2=0.0646(Rank4) | P3=0.3808(Rank1) | P4=0.0646(Rank5) | P5=0.3113(Rank2),0.5669,0.4664,P1=0.2673 | P2=0.4646 | P3=0.5669 | P4=0.5107 | P5=0.5227
56,Student Researcher,Pulmonary tuberculosis occurred in patient with Tracheobronchopathia Osteochondroplastica,Tracheobronchopathia osteochondroplastica pulmonary tuberculosis,1,0.5797,0.1567,Tracheobronchopathia osteochondroplastica pulmonary tuberculosis | diagnosis methods tuberculosis | osteochondroplasia and pulmonary tb diagnosis | TB diagnosis alternative Zambia | TB Lamp assay effectiveness study zambia,P1=0.5797(Rank1) | P2=0.087(Rank3) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.1167(Rank2),0.9665,0.5886,P1=0.9665 | P2=0.7418 | P3=0.4387 | P4=0.2745 | P5=0.5217
