session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
10,Academic Researcher,Interference of speech recognition feedback during diagnostic tasks.,speech recognition interference,5,0.4827,0.1504,speech recognition interference | speech recognition datasets | audio signals error correction | speechrecognition datasets | asr noise reduction techniques,P1=0.0(Rank3) | P2=0.2695(Rank2) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.4827(Rank1),0.7457,0.4307,P1=0.3459 | P2=0.3537 | P3=0.3984 | P4=0.3098 | P5=0.7457
11,Engineering & Tech Developer,Induction motor fault detection and diagnosis using a current state space pattern recognition.,induction motor speed controller design,1,0.1523,0.1243,induction motor speed controller design | induction motor predictive control code | induction motor short chopper control | motor control algorithm | sensorless motor controller design techniques,P1=0.1523(Rank1) | P2=0.0943(Rank4) | P3=0.0703(Rank5) | P4=0.1523(Rank2) | P5=0.1523(Rank3),0.4853,0.3819,P1=0.4119 | P2=0.3533 | P3=0.2774 | P4=0.4853 | P5=0.3816
12,Engineering & Tech Developer,maintenance planning optimization,maintenance planning strategy optimization,5,0.7765,0.4903,maintenance planning strategy optimization | maintenance planning | maintenance optimization algorithms | optimization techniques | data processing optimization,P1=0.5031(Rank3) | P2=0.7093(Rank2) | P3=0.202(Rank5) | P4=0.2606(Rank4) | P5=0.7765(Rank1),0.9641,0.7104,P1=0.8722 | P2=0.9102 | P3=0.3588 | P4=0.4468 | P5=0.9641
13,Student Researcher,hinderance of fine art renaissance,hindrance of fine art renaissance,1,0.6694,0.319,hindrance of fine art renaissance | art renaissance history | renaissance art revival hindrances | renaissance hindrance factor | art hindrance 15th century,P1=0.6694(Rank1) | P2=0.1506(Rank4) | P3=0.2912(Rank3) | P4=0.1274(Rank5) | P5=0.3563(Rank2),0.9478,0.7685,P1=0.9478 | P2=0.5313 | P3=0.8313 | P4=0.6805 | P5=0.8517
14,Student Researcher,formula student front wing,formula student front wing material,1,0.8182,0.5301,formula student front wing material | formula student front wing designs | formula student wing design | formula student aerodynamics | fwi aerodynamics materials,P1=0.8182(Rank1) | P2=0.8182(Rank2) | P3=0.603(Rank3) | P4=0.0(Rank5) | P5=0.4112(Rank4),0.9194,0.7532,P1=0.8842 | P2=0.9194 | P3=0.8667 | P4=0.3654 | P5=0.7301
15,Student Researcher,peer tutoring,peer tutoring outcomes,2,0.7093,0.5039,peer tutoring outcomes | peer tutoring effectiveness | peer tutoring effectiveness studies | online tutoring models | peer instructional efficacy,P1=0.5797(Rank3) | P2=0.7093(Rank1) | P3=0.7093(Rank2) | P4=0.2606(Rank4) | P5=0.2606(Rank5),0.9272,0.8168,P1=0.8574 | P2=0.9132 | P3=0.9272 | P4=0.7167 | P5=0.6697
16,Business & Economics Researcher,Strategy Department food retail,strategy department food retail cost,4,0.8182,0.283,strategy department food retail cost | retail product mix strategy | strategy retail merchandiser role job description | supplychainmanagement | supply chain management,P1=0.0(Rank4) | P2=0.2606(Rank3) | P3=0.3361(Rank2) | P4=0.8182(Rank1) | P5=0.0(Rank5),0.8613,0.5445,P1=0.3468 | P2=0.5726 | P3=0.5046 | P4=0.8613 | P5=0.4372
17,Academic Researcher,On category theory as a (meta) ontology for information systems research.,information systems authors,1,0.2377,0.2377,information systems authors | category theory foundations | category theory isms | category theory is | information systems researchers,P1=0.2377(Rank1) | P2=0.2377(Rank2) | P3=0.2377(Rank3) | P4=0.2377(Rank4) | P5=0.2377(Rank5),0.6436,0.5413,P1=0.4248 | P2=0.6334 | P3=0.5198 | P4=0.6436 | P5=0.4851
18,Engineering & Tech Developer,CCP BN-600,bn-600 design,1,0.5031,0.2651,bn-600 design | bn-600 short form | BN-600 reactor model | bn600 environmental impacts | nuclear reactor designs,P1=0.5031(Rank1) | P2=0.0(Rank4) | P3=0.4112(Rank2) | P4=0.0(Rank5) | P5=0.4112(Rank3),0.7114,0.4998,P1=0.7114 | P2=0.4871 | P3=0.6639 | P4=0.1291 | P5=0.5074
19,Academic Researcher,Generalized quasilinearization for fractional differential equations.,generalized quasilinearization fractional ode,3,0.4502,0.1453,generalized quasilinearization fractional ode | differential transformation numerical methods adaptive nonlinear equations | adaptive multi-step differential transformation method | numerial method optimization nonlinear diff eq | newton nonlineardifferential eqs soln,P1=0.1844(Rank2) | P2=0.0(Rank4) | P3=0.4502(Rank1) | P4=0.0919(Rank3) | P5=0.0(Rank5),0.9169,0.4817,P1=0.4059 | P2=0.3604 | P3=0.9169 | P4=0.3229 | P5=0.4026
20,Policy & Security Analyst,Chinese Communist Party liquid sodium cooled fast neutron reactor,liquid sodium cooled fast neutron reactor,4,0.7093,0.3126,liquid sodium cooled fast neutron reactor | fast neutron reactor designs | liquid sodium reactors applications | chinese nuclear reactor designs | advanced nuclear reactor designs,P1=0.2061(Rank3) | P2=0.349(Rank2) | P3=0.0927(Rank5) | P4=0.7093(Rank1) | P5=0.2061(Rank4),0.8741,0.6865,P1=0.6175 | P2=0.6992 | P3=0.5749 | P4=0.8741 | P5=0.6669
21,Academic Researcher,Multiple rules with game theoretic analysis for flexible flow shop scheduling problem with component altering times.,flexible flow shop game theoretic,1,0.4037,0.0937,flexible flow shop game theoretic | flexible assembly optimization algorithms | discrete manufacturing optimization | assembly design optimization algorithms | game_theoretic_scheduling_fms,P1=0.4037(Rank1) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.0646(Rank2),0.753,0.4676,P1=0.753 | P2=0.4561 | P3=0.2916 | P4=0.517 | P5=0.3205
22,Engineering & Tech Developer,Syde: a tool for collaborative software development.,collaborative software development tool,1,0.7093,0.3113,collaborative software development tool | collaborative software development strategies | collaborative dev tool platforms | collaborative platform attention | collaboration workflow enhancement,P1=0.7093(Rank1) | P2=0.1363(Rank4) | P3=0.4502(Rank2) | P4=0.0(Rank5) | P5=0.2606(Rank3),0.7756,0.5746,P1=0.7756 | P2=0.3071 | P3=0.6949 | P4=0.4348 | P5=0.6608
23,Academic Researcher,Integrative pathway analysis of genome-wide association studies and gene expression data in prostate cancer.,prostate cancer gwasis gene expression,2,0.3226,0.2602,prostate cancer gwasis gene expression | prostate cancer gene expression datasets | prostate cancer pathway genes | prostate cancer pathway database | RGED gene expression kidney disease,P1=0.2603(Rank3) | P2=0.3226(Rank1) | P3=0.135(Rank5) | P4=0.2603(Rank4) | P5=0.3226(Rank2),0.7724,0.6359,P1=0.7724 | P2=0.6313 | P3=0.2912 | P4=0.7236 | P5=0.761
24,Academic Researcher,Towards a family of languages for the design and implementation of machine architectures.,machine architectures design,3,0.3483,0.1368,machine architectures design | machine architectures for language design | seam tracking ai computer vision | seam tracking machines | robotic welding seam tracking related works,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.3483(Rank1) | P4=0.0(Rank5) | P5=0.3358(Rank2),0.7797,0.3604,P1=0.057 | P2=0.1821 | P3=0.7294 | P4=0.0537 | P5=0.7797
25,Academic Researcher,Competitive genetic algorithms for the open-shop scheduling problem.,competitive genetic algo open shop,3,0.4393,0.2338,competitive genetic algo open shop | genetic open-shop comparison | job shop scheduling author publications | genetic algorithm implementation | genetic algorithm optimization techniques,P1=0.0927(Rank5) | P2=0.1786(Rank3) | P3=0.4393(Rank1) | P4=0.1096(Rank4) | P5=0.349(Rank2),0.6599,0.5581,P1=0.5419 | P2=0.4112 | P3=0.6555 | P4=0.522 | P5=0.6599
26,Policy & Security Analyst,IRGC ethnology,IRGC kurds,4,0.3361,0.2544,IRGC kurds | IRGC ethnolinguistic groups | IRGC ethnic groups | irgc ethnicity in usa | IRGC ethnic group policy issues,P1=0.2606(Rank2) | P2=0.1943(Rank5) | P3=0.2606(Rank3) | P4=0.3361(Rank1) | P5=0.2203(Rank4),0.7767,0.6621,P1=0.7767 | P2=0.5718 | P3=0.716 | P4=0.5806 | P5=0.6656
27,Policy & Security Analyst,Syria ethnologist,iran ethnologist authors,1,0.2606,0.0962,iran ethnologist authors | syria kurdist ethnicity policies | iran ethno cultural studies | iran ethnology researcher | iranian ethnic groups,P1=0.2606(Rank1) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.2203(Rank2) | P5=0.0(Rank5),0.6542,0.5669,P1=0.6542 | P2=0.5606 | P3=0.6272 | P4=0.6261 | P5=0.3665
28,Student Researcher,fake news in social media,social media types,1,0.3563,0.2964,social media types | social media addiction symptoms | social media privacy effects | social media privacy features | social media privacy and misinformation,P1=0.3563(Rank1) | P2=0.2912(Rank2) | P3=0.2523(Rank5) | P4=0.2912(Rank3) | P5=0.2912(Rank4),0.6001,0.4376,P1=0.4675 | P2=0.3081 | P3=0.6001 | P4=0.4362 | P5=0.3763
29,Engineering & Tech Developer,Functional programming in C++.,functional programming styles in c++,4,0.7765,0.4388,functional programming styles in c++ | functional programming examples c++ | functional programming languages | functional programming c++ implementation examples | c++ personalized media recommendation,P1=0.0(Rank5) | P2=0.5031(Rank2) | P3=0.5031(Rank3) | P4=0.7765(Rank1) | P5=0.4112(Rank4),0.9016,0.7281,P1=0.3172 | P2=0.9016 | P3=0.7939 | P4=0.7583 | P5=0.8696
30,Engineering & Tech Developer,Knowledge-Based Generation of Illustrated Documents.,knowledge based system document generation,2,0.3809,0.1513,knowledge based system document generation | knowledge based systems authors | document generation software development | knowledge_based_systems_document_generation | author identification tool,P1=0.2606(Rank2) | P2=0.3809(Rank1) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.1152(Rank3),0.6558,0.5106,P1=0.4068 | P2=0.6558 | P3=0.6318 | P4=0.2771 | P5=0.5813
31,Business & Economics Researcher,AI education: machine learning resources.,machine learning email marketing,1,0.2912,0.2781,machine learning email marketing | machine learning attribution modeling | machine learning multitouch attribution | machine learning ad optimization | machine learning models for ad targeting,P1=0.2912(Rank1) | P2=0.2912(Rank2) | P3=0.2912(Rank3) | P4=0.2258(Rank5) | P5=0.2912(Rank4),0.3054,0.2476,P1=0.2634 | P2=0.1968 | P3=0.2024 | P4=0.27 | P5=0.3054
32,Engineering & Tech Developer,convex,convex hull optimizations,2,0.4494,0.3,convex hull optimizations | convex hull algorithm implementations | convex hull polyhedron star shape | convex hull 3d construction methods | star shaped polyhedron delaunay,P1=0.3352(Rank3) | P2=0.4494(Rank1) | P3=0.38(Rank2) | P4=0.0(Rank5) | P5=0.3352(Rank4),0.5267,0.4056,P1=0.4625 | P2=0.5267 | P3=0.4302 | P4=0.2335 | P5=0.3753
33,Engineering & Tech Developer,Constraint based analysis tools for design.,εconstraint optimization in design software,3,0.1016,0.0406,εconstraint optimization in design software | evolutionary constraint optimization with preferences | constrained optimization algorithms | evolutionary optimization constraints | optimization techniques,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.1016(Rank1) | P4=0.1016(Rank2) | P5=0.0(Rank5),0.6682,0.5025,P1=0.5088 | P2=0.4701 | P3=0.6682 | P4=0.4578 | P5=0.4077
34,Sustainability & Climate Researcher,Decentralized waste collection system in Anambra,decentralized waste collection system problems,2,0.5803,0.3946,decentralized waste collection system problems | decentralized waste collection anambra nigeria | decentralized waste systems anambra | waste management strategies Anambra state | waste management technologies,P1=0.2258(Rank4) | P2=0.5803(Rank1) | P3=0.4502(Rank3) | P4=0.1363(Rank5) | P5=0.5803(Rank2),0.9244,0.7991,P1=0.7829 | P2=0.8242 | P3=0.9244 | P4=0.6014 | P5=0.8628
35,Policy & Security Analyst,OSINT tools data loss prevention system,data loss prevention for OSINT tools,3,0.7168,0.2852,data loss prevention for OSINT tools | osint data control solutions | osint free | data security measures | osint tool vendors,P1=0.2606(Rank2) | P2=0.1363(Rank4) | P3=0.7168(Rank1) | P4=0.1758(Rank3) | P5=0.1363(Rank5),0.95,0.6729,P1=0.7807 | P2=0.39 | P3=0.95 | P4=0.5967 | P5=0.647
36,Academic Researcher,IDENTIFICATION,ppi network integration methods,1,0.0,0.0,ppi network integration methods | PPI network analysis software | functional module classification | ppi network node enrichment | protein complex datasets,P1=0.0(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.2122,0.1079,P1=0.0204 | P2=0.087 | P3=0.2122 | P4=0.0405 | P5=0.1793
37,Policy & Security Analyst,charles handy organisation culture,charles handy organisation,3,0.7765,0.4926,charles handy organisation | charles handy organizational culture | charles handy publication | charles handy management theory | charles handy leadership style,P1=0.4112(Rank3) | P2=0.603(Rank2) | P3=0.7765(Rank1) | P4=0.3361(Rank4) | P5=0.3361(Rank5),0.9441,0.8068,P1=0.6921 | P2=0.9441 | P3=0.9022 | P4=0.7585 | P5=0.7372
38,Engineering & Tech Developer,code switching,code-switching examples,2,0.7093,0.6834,code-switching examples | code-switching techniques | code switching implementation | code switching examples | code-switching implementation languages,P1=0.5797(Rank5) | P2=0.7093(Rank1) | P3=0.7093(Rank2) | P4=0.7093(Rank3) | P5=0.7093(Rank4),0.9043,0.8457,P1=0.7228 | P2=0.8507 | P3=0.9043 | P4=0.8798 | P5=0.8711
39,Student Researcher,outdoor education awe,outdoor education research,1,0.5031,0.3287,outdoor education research | outdoor education research studies | outdoor reverence practices in education | outdoor ed psychology | outdoor ed research papers,P1=0.5031(Rank1) | P2=0.202(Rank4) | P3=0.4112(Rank2) | P4=0.3563(Rank3) | P5=0.1708(Rank5),0.8329,0.7218,P1=0.8329 | P2=0.7133 | P3=0.8009 | P4=0.6214 | P5=0.6405
40,Academic Researcher,quantitative research about technology,quantitative research methodology in technology studies,2,0.4502,0.3116,quantitative research methodology in technology studies | technology innovations gap research | quantitative tech research methods | tech type quantitative research papers | quantitative computer science analysis,P1=0.3361(Rank2) | P2=0.4502(Rank1) | P3=0.1444(Rank5) | P4=0.2912(Rank4) | P5=0.3361(Rank3),0.8724,0.7212,P1=0.5351 | P2=0.8724 | P3=0.5835 | P4=0.7632 | P5=0.8519
41,Policy & Security Analyst,cold war,cold war vietnam,1,0.7093,0.3997,cold war vietnam | vietnam cold war | Soviet Union Cold War | nixon policy | nixon vietnam,P1=0.7093(Rank1) | P2=0.0(Rank4) | P3=0.5797(Rank3) | P4=0.0(Rank5) | P5=0.7093(Rank2),0.8777,0.6682,P1=0.8159 | P2=0.3493 | P3=0.8777 | P4=0.4673 | P5=0.8306
42,Sustainability & Climate Researcher,charcoal for fuel,charcoal properties,5,0.2606,0.1733,charcoal properties | charcoal environmental impact | sustainable charcoal alternatives | sustainable charcoal production | sustainable biofuels options,P1=0.0(Rank5) | P2=0.202(Rank2) | P3=0.202(Rank3) | P4=0.202(Rank4) | P5=0.2606(Rank1),0.7684,0.663,P1=0.3381 | P2=0.7057 | P3=0.7684 | P4=0.7585 | P5=0.7444
43,Academic Researcher,Correlation researches example,correlation tools,5,0.2606,0.2075,correlation tools | correlation coefficient datasets | correlation coefficients dataset | correlation studies examples | correlation coefficient regression examples,P1=0.202(Rank2) | P2=0.202(Rank3) | P3=0.202(Rank4) | P4=0.1708(Rank5) | P5=0.2606(Rank1),0.8991,0.6593,P1=0.5685 | P2=0.5328 | P3=0.8991 | P4=0.6937 | P5=0.6024
44,Sustainability & Climate Researcher,Physicochemical properties of the vinegar were studied,physicochemical compounds gac vinegar,1,0.2379,0.0832,physicochemical compounds gac vinegar | gac fruit vinegar recipe success | gac fruit vinegar efficiency optimization techniques | gac fruit fermentation | fermentation processes,P1=0.2379(Rank1) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.0935(Rank2) | P5=0.0846(Rank3),0.7204,0.4732,P1=0.7204 | P2=0.254 | P3=0.3523 | P4=0.5154 | P5=0.524
45,Academic Researcher,"1,3,4-thiadiazole","1,3,4-thiadiazole pharmacology",1,0.5797,0.3218,"1,3,4-thiadiazole pharmacology | 1,3,4-thiadiazole chemistry | synthesis methods 1,3,4-thiadiazole | shortened version of 'semicarbazone moieties in 1,3,4-thiadiazoles' | synthesis optimisation 134thiadiazole",P1=0.5797(Rank1) | P2=0.0(Rank4) | P3=0.5797(Rank2) | P4=0.0(Rank5) | P5=0.4494(Rank3),0.9212,0.7482,P1=0.8483 | P2=0.7385 | P3=0.9212 | P4=0.4113 | P5=0.8218
46,Sustainability & Climate Researcher,algae based systems for carbon dioxide conversion and protein production,algae based systems carbon sequestration,3,0.411,0.1745,algae based systems carbon sequestration | algae for biofuel conversion | algae biochemistry | sustainable biotechnology applications | microalgae cultivation methods,P1=0.0(Rank4) | P2=0.1338(Rank3) | P3=0.411(Rank1) | P4=0.3279(Rank2) | P5=0.0(Rank5),0.697,0.5471,P1=0.2932 | P2=0.6422 | P3=0.697 | P4=0.6864 | P5=0.4167
47,Student Researcher,using music  during exercise muscular endurance,music type exercise endurance,1,0.4502,0.2969,music type exercise endurance | music exercise impact | music duration exercise | music and exercise performance | music duration effect,P1=0.4502(Rank1) | P2=0.2606(Rank4) | P3=0.3188(Rank2) | P4=0.3188(Rank3) | P5=0.1363(Rank5),0.8742,0.7465,P1=0.8742 | P2=0.8499 | P3=0.7907 | P4=0.7091 | P5=0.5084
48,Healthcare & Life Sciences Researcher,Microglia/physiology,microglia biology and physiology,3,0.5797,0.338,microglia biology and physiology | microglia physiology reproductive processes | reproductive physiology | microglia function in neurodegenerative diseases | reproductive biology mechanisms,P1=0.1943(Rank4) | P2=0.3361(Rank3) | P3=0.5797(Rank1) | P4=0.0(Rank5) | P5=0.5797(Rank2),0.9731,0.587,P1=0.8235 | P2=0.1872 | P3=0.9731 | P4=0.1512 | P5=0.7998
49,Sustainability & Climate Researcher,creativity in the brain,brain creativity functions,3,0.4112,0.1453,brain creativity functions | brain creative neuroscience | neural networks art creativity | creative problem solving techniques | cognitive psychology,P1=0.1444(Rank3) | P2=0.0(Rank4) | P3=0.4112(Rank1) | P4=0.1708(Rank2) | P5=0.0(Rank5),0.8943,0.6908,P1=0.6181 | P2=0.5373 | P3=0.8943 | P4=0.869 | P5=0.5352
50,Student Researcher,Readiness undergrad certifications,certification readiness models,4,0.202,0.115,certification readiness models | nc3 readiness assessments | education certifications training programs | nc3 certification programs | undergraduate certification training programs,P1=0.0(Rank4) | P2=0.1708(Rank3) | P3=0.0(Rank5) | P4=0.202(Rank1) | P5=0.202(Rank2),0.803,0.6412,P1=0.5458 | P2=0.6208 | P3=0.6929 | P4=0.803 | P5=0.5433
51,Sustainability & Climate Researcher,Zinc bromine flow battery,zinc bromine applications,2,0.4112,0.2178,zinc bromine applications | renewable flow battery technology | zinc bromide chemistry | zinc bromide properties | zincbromideproperties,P1=0.1708(Rank3) | P2=0.4112(Rank1) | P3=0.1708(Rank4) | P4=0.3361(Rank2) | P5=0.0(Rank5),0.749,0.5858,P1=0.6029 | P2=0.749 | P3=0.5695 | P4=0.5984 | P5=0.409
52,Student Researcher,The Influence of Parenting Styles on the Self-Identity Development of Students RRL,parenting styles self identity development students,5,0.4652,0.3457,parenting styles self identity development students | parenting styles self identity | parenting styles influence on student identity | parenting styles self identity development ligao community college | parenting styles self identity education research,P1=0.2604(Rank5) | P2=0.3671(Rank2) | P3=0.3534(Rank3) | P4=0.2823(Rank4) | P5=0.4652(Rank1),0.8319,0.7764,P1=0.8033 | P2=0.7446 | P3=0.751 | P4=0.7511 | P5=0.8319
53,Student Researcher,Teaching strategies of grammar,grammar teaching strategies,4,0.7765,0.5076,grammar teaching strategies | teaching strategies grammar implementation | teaching effectiveness grammar | teaching grammar methods | effective grammar teaching methods,P1=0.3361(Rank5) | P2=0.4112(Rank3) | P3=0.603(Rank2) | P4=0.7765(Rank1) | P5=0.4112(Rank4),0.9779,0.898,P1=0.8803 | P2=0.7988 | P3=0.8959 | P4=0.9779 | P5=0.9373
54,Policy & Security Analyst,Administrative Law,contract law regulations,1,0.2606,0.2004,contract law regulations | contract law terms | contract law definitions | contract law policy development | contract governance,P1=0.2606(Rank1) | P2=0.2606(Rank2) | P3=0.0(Rank5) | P4=0.2606(Rank3) | P5=0.2203(Rank4),0.4841,0.443,P1=0.4841 | P2=0.4298 | P3=0.411 | P4=0.4339 | P5=0.456
55,Policy & Security Analyst,quantum computer Europe,quantum computer europe military,2,0.7765,0.4326,quantum computer europe military | quantum defence europe | quantum computing europe military applications | quantum computer military global power | quantum computing organizations worldwide,P1=0.1708(Rank5) | P2=0.7765(Rank1) | P3=0.3563(Rank3) | P4=0.5031(Rank2) | P5=0.3563(Rank4),0.8299,0.7456,P1=0.7297 | P2=0.8299 | P3=0.7884 | P4=0.7203 | P5=0.6596
56,Business & Economics Researcher,Impact of Social Media Marketing on Monthly Sale for Cafe Businesses,social media marketing strategies cafe businesses,1,0.4612,0.2694,social media marketing strategies cafe businesses | social media optimization cafe | social media advertising strategies for cafes | social media effect analysis | monthly cafe sales trends report,P1=0.4612(Rank1) | P2=0.2316(Rank3) | P3=0.1597(Rank5) | P4=0.1844(Rank4) | P5=0.3102(Rank2),0.8053,0.6206,P1=0.8053 | P2=0.6657 | P3=0.6556 | P4=0.4387 | P5=0.5379
57,Business & Economics Researcher,A review of tiktok live streaming commerce,tiktok streaming commerce,2,0.5797,0.4015,tiktok streaming commerce | tiktok live streaming examples | tiktok live streaming business strategies | tiktok live streaming ecommerce platform features | tiktok livestreaming commerce implementation,P1=0.3809(Rank3) | P2=0.5797(Rank1) | P3=0.3361(Rank4) | P4=0.2606(Rank5) | P5=0.4502(Rank2),0.8983,0.8597,P1=0.8584 | P2=0.8918 | P3=0.8983 | P4=0.8717 | P5=0.7783
58,Policy & Security Analyst,bias fake news spread,fake news spread propagation,5,0.603,0.4543,fake news spread propagation | fake news spread in asia | fake news politics | fake news countermeasures | entities spreading fake news,P1=0.4112(Rank3) | P2=0.4112(Rank4) | P3=0.5101(Rank2) | P4=0.3361(Rank5) | P5=0.603(Rank1),0.7665,0.7091,P1=0.7137 | P2=0.6488 | P3=0.6857 | P4=0.7307 | P5=0.7665
59,Engineering & Tech Developer,Mozi satellite  distribution networks,Mozi satellite system architecture,2,0.3361,0.1975,Mozi satellite system architecture | mozi satellite manufacturing processes | satellite manufacturing examples | satellite engineering design software | space engineering manufacturing techniques,P1=0.0(Rank5) | P2=0.3361(Rank1) | P3=0.1708(Rank3) | P4=0.3361(Rank2) | P5=0.1444(Rank4),0.7925,0.5004,P1=0.1671 | P2=0.7925 | P3=0.3868 | P4=0.6683 | P5=0.4872
60,Engineering & Tech Developer,quantum computing 6G systems designer,quantum computing architecture,1,0.3563,0.2402,quantum computing architecture | quantum 6g integration platforms | 6G quantum processor architecture designs | quantum processor components | quantum tech applications,P1=0.3563(Rank1) | P2=0.2523(Rank3) | P3=0.2912(Rank2) | P4=0.1506(Rank4) | P5=0.1506(Rank5),0.8361,0.6891,P1=0.7198 | P2=0.8361 | P3=0.757 | P4=0.5855 | P5=0.5473
61,Academic Researcher,quantum computer distribution networks,quantum computer funding networks,2,0.603,0.3337,quantum computer funding networks | quantum computer distribution network protocols | quantum distribution optimization | quantum computing policy analysis | quantumcomputerfunding,P1=0.4112(Rank3) | P2=0.603(Rank1) | P3=0.1444(Rank4) | P4=0.0(Rank5) | P5=0.5101(Rank2),0.8824,0.7167,P1=0.7419 | P2=0.7375 | P3=0.6413 | P4=0.5802 | P5=0.8824
